Linked models;;Mean year per GWL;;;;Period per GWL;;;;AUT GCM CCS 1991-2020;;;;AUT OEKS15 CCS 1991-2020
GCM (CMIP5);OEKS15 ensemble member;1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17_all;2024;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a;0.15918416752297732;n/a;n/a;n/a;0.09062381;n/a;n/a;n/a;
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_all;2024;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a;0.15918416752297732;n/a;n/a;n/a;0.295481;n/a;n/a;n/a;
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_all;2024;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a;0.15918416752297732;n/a;n/a;n/a;0.4568305;n/a;n/a;n/a;
HadGEM2-ES_rcp26_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4_all;2024;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a;1.3653254416148315;n/a;n/a;n/a;1.0329399;n/a;n/a;n/a;
MPI-ESM-LR_rcp26_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_all;2023;n/a;n/a;n/a;2013-2032;n/a;n/a;n/a;0.5621186574300197;n/a;n/a;n/a;0.44223595;n/a;n/a;n/a;
MPI-ESM-LR_rcp26_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4_all;2023;n/a;n/a;n/a;2013-2032;n/a;n/a;n/a;0.5621186574300197;n/a;n/a;n/a;0.6045702;n/a;n/a;n/a;
MPI-ESM-LR_rcp26_r2i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_all;2017;n/a;n/a;n/a;2007-2026;n/a;n/a;n/a;0.5708115895589486;n/a;n/a;n/a;0.586391;n/a;n/a;n/a;
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2038;2059;n/a;n/a;2028-2047;2049-2068;n/a;n/a;0.6325282948787788;1.610914836536;n/a;n/a;0.35588682;1.1164337;n/a;n/a;
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2038;2059;n/a;n/a;2028-2047;2049-2068;n/a;n/a;0.6325282948787788;1.610914836536;n/a;n/a;0.42781788;1.4269999;n/a;n/a;
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2038;2059;n/a;n/a;2028-2047;2049-2068;n/a;n/a;0.6325282948787788;1.610914836536;n/a;n/a;0.5219099;1.4629587;n/a;n/a;
EC-EARTH_rcp45_r12i1p1;SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2023;2045;n/a;n/a;2013-2032;2035-2054;n/a;n/a;0.37880875913762113;0.8623456061596642;n/a;n/a;0.38333833;0.7793671;n/a;n/a;
EC-EARTH_rcp45_r12i1p1;SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2023;2045;n/a;n/a;2013-2032;2035-2054;n/a;n/a;0.37880875913762113;0.8623456061596642;n/a;n/a;0.4854629;1.1440438;n/a;n/a;
EC-EARTH_rcp45_r1i1p1;SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2023;2045;n/a;n/a;2013-2032;2035-2054;n/a;n/a;0.4574242115177242;0.6247954983862798;n/a;n/a;0.5674101;0.83607894;n/a;n/a;
HadGEM2-ES_rcp45_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2029;2044;2079;n/a;2019-2038;2034-2053;2069-2088;n/a;1.2884443217634356;1.9985219476875273;2.8577991666382303;n/a;0.96591586;1.6673487;2.4161832;n/a;
HadGEM2-ES_rcp45_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2029;2044;2079;n/a;2019-2038;2034-2053;2069-2088;n/a;1.2884443217634356;1.9985219476875273;2.8577991666382303;n/a;0.9788047;1.4296597;2.5177238;n/a;
IPSL-CM5A-MR_rcp45_r1i1p1;SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2017;2034;2078;n/a;2007-2026;2024-2043;2068-2087;n/a;0.3661295299229636;0.8340444231320391;2.130714143333654;n/a;0.18303113;0.70583886;1.762397;n/a;
IPSL-CM5A-MR_rcp45_r1i1p1;SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2017;2034;2078;n/a;2007-2026;2024-2043;2068-2087;n/a;0.3661295299229636;0.8340444231320391;2.130714143333654;n/a;0.35165387;0.74572194;2.1931252;n/a;
MPI-ESM-LR_rcp45_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2023;2045;n/a;n/a;2013-2032;2035-2054;n/a;n/a;0.27052468193900836;0.998685540093311;n/a;n/a;0.17434321;0.79325056;n/a;n/a;
MPI-ESM-LR_rcp45_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2023;2045;n/a;n/a;2013-2032;2035-2054;n/a;n/a;0.27052468193900836;0.998685540093311;n/a;n/a;0.26283157;1.0605828;n/a;n/a;
CNRM-CM5_rcp85_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2031;2046;2068;2088;2021-2040;2036-2055;2058-2077;2078-2097;0.8063121597127151;1.5717548309151028;2.6047206391182103;3.8460715047062592;0.50512856;1.0469978;2.019355;3.0102582;
CNRM-CM5_rcp85_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2031;2046;2068;2088;2021-2040;2036-2055;2058-2077;2078-2097;0.8063121597127151;1.5717548309151028;2.6047206391182103;3.8460715047062592;0.78271276;1.2177255;2.6094992;3.5986016;
CNRM-CM5_rcp85_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2031;2046;2068;2088;2021-2040;2036-2055;2058-2077;2078-2097;0.8063121597127151;1.5717548309151028;2.6047206391182103;3.8460715047062592;0.79933995;1.4378809;2.781111;3.9668462;
EC-EARTH_rcp85_r12i1p1;SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2019;2035;2061;n/a;2009-2028;2025-2044;2051-2070;n/a;0.3201067189300318;0.9418344262330521;1.9392676091142194;n/a;0.235199;0.70149916;1.76082;n/a;
EC-EARTH_rcp85_r12i1p1;SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2019;2035;2061;n/a;2009-2028;2025-2044;2051-2070;n/a;0.3201067189300318;0.9418344262330521;1.9392676091142194;n/a;0.4350795;1.200443;2.6340458;n/a;
EC-EARTH_rcp85_r1i1p1;SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2020;2036;2062;2083;2010-2029;2026-2045;2052-2071;2073-2092;0.33111575072592814;0.9006431658989045;1.502779169618114;2.9187363127111583;0.50606775;0.98450917;1.5260384;3.250985;
HadGEM2-ES_rcp85_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2024;2036;2055;2072;2014-2033;2026-2045;2045-2064;2062-2081;1.2518766969956205;1.6533994588178644;2.854724287862686;4.261737510045464;0.9738644;1.3713691;2.41362;3.6632657;
HadGEM2-ES_rcp85_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2024;2036;2055;2072;2014-2033;2026-2045;2045-2064;2062-2081;1.2518766969956205;1.6533994588178644;2.854724287862686;4.261737510045464;0.9883663;1.2717835;2.2678583;3.5443656;
