Linked models;;GWL per Period;;;AUT GCM CCS 1991-2020
GCM (CMIP5);OEKS15 ensemble member;2021-2040;2041-2060;2081-2100;2021-2040;2041-2060;2081-2100
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17_all;1.5886424;1.82188646;1.77854814;0.31863786;0.82754974;0.66735487
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_all;1.5886424;1.82188646;1.77854814;0.31863786;0.82754974;0.66735487
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_all;1.5886424;1.82188646;1.77854814;0.31863786;0.82754974;0.66735487
HadGEM2-ES_rcp26_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4_all;1.69497616;1.95068824;1.86758447;1.69969913;1.49404056;1.77413339
MPI-ESM-LR_rcp26_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_all;1.64045045;1.76173736;1.65489939;0.91982206;1.0546037;0.61257133
MPI-ESM-LR_rcp26_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4_all;1.64045045;1.76173736;1.65489939;0.91982206;1.0546037;0.61257133
MPI-ESM-LR_rcp26_r2i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_all;1.73150069;1.85030634;1.69549472;0.62003288;0.30953306;0.40106964
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;1.34782769;1.840666;2.51676743;0.50090094;1.0729515;2.06063
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;1.34782769;1.840666;2.51676743;0.50090094;1.0729515;2.06063
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;1.34782769;1.840666;2.51676743;0.50090094;1.0729515;2.06063
