Model;;Mean year per GWL;;;;;Period per GWL;;;;;AUT GCM CCS 1991-2020
GCM (CMIP5);RCP;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C
BNU-ESM_rcp26_r1i1p1_200601-210012;rcp26;1994;2008;2025;n/a;n/a;1984-2003;1998-2017;2015-2034;n/a;n/a;-0.21074557834198232;0.04620051913793475;0.48627946641713893;n/a;n/a
CNRM-CM5_rcp26_r1i1p1_200601-210012;rcp26;2013;2044;n/a;n/a;n/a;2003-2022;2034-2053;n/a;n/a;n/a;0.22945351284195967;0.83663283039254;n/a;n/a;n/a
CanESM2_rcp26_r1i1p1_200601-210012;rcp26;2002;2014;2034;n/a;n/a;1992-2011;2004-2023;2024-2043;n/a;n/a;-0.18684662712942954;0.3177471584744126;0.9667290581597371;n/a;n/a
EC-EARTH_rcp26_r12i1p1_200601-210012;rcp26;2004;2024;n/a;n/a;n/a;1994-2013;2014-2033;n/a;n/a;n/a;0.03631434434691414;0.15918416752297732;n/a;n/a;n/a
GFDL-ESM2M_rcp26_r1i1p1_200601-210012;rcp26;2012;n/a;n/a;n/a;n/a;2002-2021;n/a;n/a;n/a;n/a;0.04143149764452119;n/a;n/a;n/a;n/a
HadGEM2-ES_rcp26_r1i1p1_200512-209911;rcp26;2011;2024;n/a;n/a;n/a;2001-2020;2014-2033;n/a;n/a;n/a;0.2517475810382024;1.3653254416148315;n/a;n/a;n/a
IPSL-CM5A-LR_rcp26_r1i1p1_200601-230012;rcp26;1995;2011;2032;n/a;n/a;1985-2004;2001-2020;2022-2041;n/a;n/a;-0.5552084181044166;0.366567781236401;0.8954590903387754;n/a;n/a
IPSL-CM5A-MR_rcp26_r1i1p1_200601-210012;rcp26;2002;2016;2047;n/a;n/a;1992-2011;2006-2025;2037-2056;n/a;n/a;-0.1320479238026877;0.3877739289729334;0.8902116575827108;n/a;n/a
MIROC5_rcp26_r1i1p1_200601-210012;rcp26;2018;2047;n/a;n/a;n/a;2008-2027;2037-2056;n/a;n/a;n/a;0.5258869233685545;1.1227295908791433;n/a;n/a;n/a
MPI-ESM-LR_rcp26_r1i1p1_200601-210012;rcp26;2004;2023;n/a;n/a;n/a;1994-2013;2013-2032;n/a;n/a;n/a;-0.07575314839680232;0.5621186574300197;n/a;n/a;n/a
MPI-ESM-LR_rcp26_r2i1p1_200601-210012;rcp26;1999;2017;n/a;n/a;n/a;1989-2008;2007-2026;n/a;n/a;n/a;-0.2630214691161825;0.5708115895589486;n/a;n/a;n/a
NorESM1-ME_rcp26_r1i1p1_200601-210112;rcp26;2018;2085;n/a;n/a;n/a;2008-2027;2075-2094;n/a;n/a;n/a;0.37590223241736;1.4182224414966669;n/a;n/a;n/a
