Model;Mean year per GWL;;;;;Period per GWL;;;;;AUT GCM CCS 1991-2020
GCM (CMIP6);1.5°C;2.0°C;3.0°C;4.0°C;5.0°C;1.5°C;2.0°C;3.0°C;4.0°C;5.0°C;1.5°C;2.0°C;3.0°C;4.0°C;5.0°C
CAMS-CSM1-0_ssp119_r2i1p1f1_gn_201501-209912;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
CNRM-ESM2-1_ssp119_r1i1p1f2_gr_201501-210012;2068;n/a;n/a;n/a;n/a;2058-2077;n/a;n/a;n/a;n/a;0.9532976437233771;n/a;n/a;n/a;n/a
CanESM5_ssp119_r1i1p1f1_gn_201501-210012;2013;2025;n/a;n/a;n/a;2003-2022;2015-2034;n/a;n/a;n/a;0.3926891609474581;1.125287741201913;n/a;n/a;n/a
EC-Earth3-Veg-LR_ssp119_r1i1p1f1_gr_201501-210012;2030;n/a;n/a;n/a;n/a;2020-2039;n/a;n/a;n/a;n/a;0.962655414052216;n/a;n/a;n/a;n/a
EC-Earth3-Veg_ssp119_r1i1p1f1_gr_201501-210012;2012;2030;n/a;n/a;n/a;2002-2021;2020-2039;n/a;n/a;n/a;0.21811892309153225;0.7527534634514297;n/a;n/a;n/a
FGOALS-g3_ssp119_r1i1p1f1_gn_201501-210012;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
GFDL-ESM4_ssp119_r1i1p1f1_gr1_201501-210012;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
IPSL-CM6A-LR_ssp119_r1i1p1f1_gr_201501-210012;2019;2038;n/a;n/a;n/a;2009-2028;2028-2047;n/a;n/a;n/a;0.5449524;1.2996491;n/a;n/a;n/a
MIROC-ES2L_ssp119_r1i1p1f2_gn_201501-210012;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
MIROC6_ssp119_r1i1p1f1_gn_201501-210012;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
MPI-ESM1-2-LR_ssp119_r1i1p1f1_gn_201501-210012;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
MRI-ESM2-0_ssp119_r1i1p1f1_gn_201501-210012;2031;n/a;n/a;n/a;n/a;2021-2040;n/a;n/a;n/a;n/a;1.167697068703373;n/a;n/a;n/a;n/a
UKESM1-0-LL_ssp119_r1i1p1f2_gn_201501-210012;2025;2040;n/a;n/a;n/a;2015-2034;2030-2049;n/a;n/a;n/a;1.3916197961150631;2.145975151041367;n/a;n/a;n/a
ACCESS-CM2_ssp126_r1i1p1f1_gn_201501-210012;2028;2043;n/a;n/a;n/a;2018-2037;2033-2052;n/a;n/a;n/a;1.3606799272530141;1.8127139886377137;n/a;n/a;n/a
ACCESS-ESM1-5_ssp126_r1i1p1f1_gn_201501-210012;2031;2074;n/a;n/a;n/a;2021-2040;2064-2083;n/a;n/a;n/a;0.7485436781836967;1.8433555303092648;n/a;n/a;n/a
AWI-CM-1-1-MR_ssp126_r1i1p1f1_gn_201501-210012;2023;2051;n/a;n/a;n/a;2013-2032;2041-2060;n/a;n/a;n/a;0.6608262668974163;1.2746751758441748;n/a;n/a;n/a
BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012;2042;n/a;n/a;n/a;n/a;2032-2051;n/a;n/a;n/a;n/a;0.5076573667774597;n/a;n/a;n/a;n/a
CAMS-CSM1-0_ssp126_r2i1p1f1_gn_201501-209912;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
CAS-ESM2-0_ssp126_r1i1p1f1_gn_201501-210012;2038;2060;n/a;n/a;n/a;2028-2047;2050-2069;n/a;n/a;n/a;2.56239761308278;3.1213066025999754;n/a;n/a;n/a
CESM2-WACCM_ssp126_r1i1p1f1_gn_201501-210012;2022;2039;n/a;n/a;n/a;2012-2031;2029-2048;n/a;n/a;n/a;0.5044142335795613;1.3981454217937028;n/a;n/a;n/a
CESM2_ssp126_r4i1p1f1_gn_201501-210012;2027;2043;n/a;n/a;n/a;2017-2036;2033-2052;n/a;n/a;n/a;0.9629890001148056;1.6701612910040695;n/a;n/a;n/a
CMCC-CM2-SR5_ssp126_r1i1p1f1_gn_201501-210012;2024;2039;n/a;n/a;n/a;2014-2033;2029-2048;n/a;n/a;n/a;0.310615969774085;1.0728179942746436;n/a;n/a;n/a
CMCC-ESM2_ssp126_r1i1p1f1_gn_201501-210012;2032;2043;n/a;n/a;n/a;2022-2041;2033-2052;n/a;n/a;n/a;0.8521274018827001;1.6734034587411573;n/a;n/a;n/a
CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_201501-210012;2018;2031;n/a;n/a;n/a;2008-2027;2021-2040;n/a;n/a;n/a;0.7142318669260391;0.9431184754084456;n/a;n/a;n/a
CNRM-CM6-1_ssp126_r1i1p1f2_gr_201501-210012;2028;2060;n/a;n/a;n/a;2018-2037;2050-2069;n/a;n/a;n/a;0.6844350644498974;1.4934826904101925;n/a;n/a;n/a
CNRM-ESM2-1_ssp126_r1i1p1f2_gr_201501-210012;2048;n/a;n/a;n/a;n/a;2038-2057;n/a;n/a;n/a;n/a;1.0283560461610506;n/a;n/a;n/a;n/a
CanESM5-CanOE_ssp126_r1i1p2f1_gn_201501-210012;2010;2021;n/a;n/a;n/a;2000-2019;2011-2030;n/a;n/a;n/a;0.2147494139495052;0.4536317754675224;n/a;n/a;n/a
CanESM5_ssp126_r1i1p1f1_gn_201501-210012;2014;2027;n/a;n/a;n/a;2004-2023;2017-2036;n/a;n/a;n/a;0.44814990008318034;0.91811225325973;n/a;n/a;n/a
