Model name   Start date   End date   Unit   Dimensions   Grid   Resolution   Data type
tas_Amon_ACCESS-CM2_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   native atmosphere N96 grid (144x192 latxlon)   250 km   float32
tas_Amon_ACCESS-CM2_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   native atmosphere N96 grid (144x192 latxlon)   250 km   float32
tas_Amon_ACCESS-CM2_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   native atmosphere N96 grid (144x192 latxlon)   250 km   float32
tas_Amon_ACCESS-CM2_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   native atmosphere N96 grid (144x192 latxlon)   250 km   float32
tas_Amon_ACCESS-ESM1-5_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 145, 'lon': 192})   native atmosphere N96 grid (145x192 latxlon)   250 km   float32
tas_Amon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 145, 'lon': 192})   native atmosphere N96 grid (145x192 latxlon)   250 km   float32
tas_Amon_ACCESS-ESM1-5_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 145, 'lon': 192})   native atmosphere N96 grid (145x192 latxlon)   250 km   float32
tas_Amon_ACCESS-ESM1-5_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 145, 'lon': 192})   native atmosphere N96 grid (145x192 latxlon)   250 km   float32
tas_Amon_AWI-CM-1-1-MR_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   All grid attributes are set for the native grid and based on information from attribute source.   100 km   float32
tas_Amon_AWI-CM-1-1-MR_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   All grid attributes are set for the native grid and based on information from attribute source.   100 km   float32
tas_Amon_AWI-CM-1-1-MR_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   All grid attributes are set for the native grid and based on information from attribute source.   100 km   float32
tas_Amon_AWI-CM-1-1-MR_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   All grid attributes are set for the native grid and based on information from attribute source.   100 km   float32
tas_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_BCC-CSM2-MR_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_BCC-ESM1_ssp370_r1i1p1f1_gn_201501-205512   201501   205512   K   Frozen({'time': 492, 'bnds': 2, 'lat': 64, 'lon': 128})   T42   250 km   float32
tas_Amon_CAMS-CSM1-0_ssp119_r2i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_CAMS-CSM1-0_ssp126_r2i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_CAMS-CSM1-0_ssp245_r2i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_CAMS-CSM1-0_ssp370_r2i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_CAMS-CSM1-0_ssp585_r2i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 160, 'lon': 320})   T106   100 km   float32
tas_Amon_CAS-ESM2-0_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   gs1x1   100 km   float32
tas_Amon_CAS-ESM2-0_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   gs1x1   100 km   float32
tas_Amon_CAS-ESM2-0_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   gs1x1   100 km   float32
tas_Amon_CAS-ESM2-0_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   gs1x1   100 km   float32
tas_Amon_CESM2-WACCM_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CESM2-WACCM_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CESM2-WACCM_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CESM2-WACCM_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CESM2_ssp126_r4i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CESM2_ssp245_r4i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CESM2_ssp370_r4i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CESM2_ssp585_r4i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 192, 'lon': 288, 'nbnd': 2})   native 0.9x1.25 finite volume grid (192x288 latxlon)   100 km   float32
tas_Amon_CMCC-CM2-SR5_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CMCC-CM2-SR5_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CMCC-CM2-SR5_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CMCC-CM2-SR5_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CMCC-ESM2_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CMCC-ESM2_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CMCC-ESM2_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CMCC-ESM2_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   native atmosphere regular grid   100 km   float32
tas_Amon_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 360, 'lon': 720, 'time': 1032, 'axis_nbounds': 2})   data regridded to a 359 gaussian grid (360x720 latlon) from a native atmosphere T359l reduced gaussian grid   50 km   float32
tas_Amon_CNRM-CM6-1-HR_ssp245_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 360, 'lon': 720, 'time': 1032, 'axis_nbounds': 2})   data regridded to a 359 gaussian grid (360x720 latlon) from a native atmosphere T359l reduced gaussian grid   50 km   float32
tas_Amon_CNRM-CM6-1-HR_ssp370_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 360, 'lon': 720, 'time': 1032, 'axis_nbounds': 2})   data regridded to a 359 gaussian grid (360x720 latlon) from a native atmosphere T359l reduced gaussian grid   50 km   float32
tas_Amon_CNRM-CM6-1-HR_ssp585_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 360, 'lon': 720, 'time': 1032, 'axis_nbounds': 2})   data regridded to a 359 gaussian grid (360x720 latlon) from a native atmosphere T359l reduced gaussian grid   50 km   float32
tas_Amon_CNRM-CM6-1_ssp126_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-CM6-1_ssp245_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-CM6-1_ssp370_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-CM6-1_ssp585_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-ESM2-1_ssp119_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-ESM2-1_ssp126_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-ESM2-1_ssp245_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-ESM2-1_ssp370_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CNRM-ESM2-1_ssp585_r1i1p1f2_gr_201501-210012   201501   210012   K   Frozen({'lat': 128, 'lon': 256, 'time': 1032, 'axis_nbounds': 2})   data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid   250 km   float32
tas_Amon_CanESM5-CanOE_ssp126_r1i1p2f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa   500 km   float32
