Year;Precipitation sum
1951;1000.5776977539062
1952;1187.564208984375
1953;1055.870361328125
1954;1214.534423828125
1955;1090.3365478515625
1956;1145.7742919921875
1957;1058.501708984375
1958;1130.4283447265625
1959;1294.349609375
1960;1016.9895629882812
1961;1075.11572265625
1962;888.2333984375
1963;1142.942138671875
1964;1136.92822265625
1965;1117.51513671875
1966;1278.93212890625
1967;914.737060546875
1968;1137.794677734375
1969;1059.1546630859375
1970;1026.8748779296875
1971;990.747802734375
1972;974.3892822265625
1973;1235.3992919921875
1974;1276.3963623046875
1975;1136.1417236328125
1976;939.6038208007812
1977;1148.3233642578125
1978;1065.741943359375
1979;906.398681640625
1980;1155.2696533203125
1981;1134.278076171875
1982;1145.3284912109375
1983;918.176025390625
1984;1036.9346923828125
1985;1224.2882080078125
1986;1127.0775146484375
1987;1180.5430908203125
1988;1049.1768798828125
1989;1169.6044921875
1990;900.2700805664062
1991;1229.231201171875
1992;1096.444580078125
1993;1032.6563720703125
1994;1349.456298828125
1995;1065.687744140625
1996;914.392333984375
1997;1053.599365234375
1998;1260.28955078125
1999;885.9334716796875
2000;1240.7061767578125
2001;1154.42529296875
2002;1322.2559814453125
2003;1428.0908203125
2004;1219.502197265625
2005;990.7484130859375
2006;1424.3621826171875
2007;1074.097900390625
2008;1191.20654296875
2009;1090.8955078125
2010;1031.7965087890625
2011;1348.842529296875
2012;985.1436767578125
2013;927.4619140625
2014;1174.8104248046875
2015;1170.19970703125
2016;1186.895751953125
2017;1081.9619140625
2018;1172.8941650390625
2019;1439.69970703125
2020;1272.76220703125
2021;1333.2523193359375
2022;1237.3153076171875
2023;1207.3203125
2024;1447.9276123046875
2025;1119.0023193359375
2026;1027.778076171875
2027;1296.9041748046875
2028;1326.167236328125
2029;1153.192626953125
2030;1249.94775390625
2031;1247.906005859375
2032;1029.785888671875
2033;1104.7880859375
2034;1361.343505859375
2035;1235.506103515625
2036;1358.71044921875
2037;1355.592041015625
2038;983.0097045898438
2039;1334.64208984375
2040;1050.7406005859375
2041;1414.98486328125
2042;1151.304931640625
2043;1084.8641357421875
2044;1374.0245361328125
2045;1283.41015625
2046;1158.3974609375
2047;1170.3043212890625
2048;1142.0560302734375
2049;1154.5172119140625
2050;1522.510986328125
2051;1229.6600341796875
2052;1155.04638671875
2053;1317.6787109375
2054;1203.33154296875
2055;1354.782958984375
2056;1330.63134765625
2057;1157.0146484375
2058;1506.2603759765625
2059;1300.6962890625
2060;1192.42529296875
2061;1384.774169921875
2062;1352.4007568359375
2063;1088.273193359375
2064;892.2301025390625
2065;1155.478515625
2066;1219.081298828125
2067;1498.438232421875
2068;1338.269287109375
2069;1348.71826171875
2070;1048.7794189453125
2071;1225.4913330078125
2072;1333.477783203125
2073;1257.657470703125
2074;1450.472412109375
2075;1044.1912841796875
2076;1331.9644775390625
2077;999.010498046875
2078;1272.067138671875
2079;1002.287109375
2080;1297.611572265625
2081;1108.1492919921875
2082;1277.487548828125
2083;1159.04833984375
2084;1260.02978515625
2085;1192.6949462890625
2086;1370.017578125
2087;1263.6279296875
2088;1315.577880859375
2089;1282.5103759765625
2090;1258.292236328125
2091;1348.2100830078125
2092;1310.49951171875
2093;982.2083740234375
2094;1073.814208984375
2095;1208.801025390625
2096;1321.711181640625
2097;1126.552734375
2098;1286.462890625
2099;1248.580078125
2100;1112.286376953125
