Year;Precipitation sum
1951;1196.483642578125
1952;1056.40234375
1953;1077.779541015625
1954;1257.703125
1955;986.056884765625
1956;1064.219482421875
1957;1121.8934326171875
1958;1079.9237060546875
1959;1192.2291259765625
1960;1062.5078125
1961;946.9012451171875
1962;1136.5897216796875
1963;1122.386474609375
1964;988.2406005859375
1965;1077.248779296875
1966;1310.0767822265625
1967;933.3344116210938
1968;1136.8922119140625
1969;1294.89599609375
1970;1119.85986328125
1971;1067.82080078125
1972;863.611083984375
1973;940.9114990234375
1974;1274.781005859375
1975;1148.90380859375
1976;950.98876953125
1977;1218.120361328125
1978;1125.5108642578125
1979;1257.097412109375
1980;1142.2445068359375
1981;1247.4937744140625
1982;1151.61083984375
1983;948.8094482421875
1984;1016.8848876953125
1985;1363.038330078125
1986;1079.74072265625
1987;1330.251220703125
1988;1069.4453125
1989;996.521728515625
1990;970.1646118164062
1991;1006.7991333007812
1992;976.4374389648438
1993;1059.880126953125
1994;1195.21142578125
1995;914.2513427734375
1996;1172.39013671875
1997;1070.079833984375
1998;1171.167724609375
1999;1156.54638671875
2000;1132.9600830078125
2001;1068.8868408203125
2002;1290.67529296875
2003;1254.3470458984375
2004;1244.994384765625
2005;917.791748046875
2006;905.2958374023438
2007;1024.5885009765625
2008;1175.4730224609375
2009;994.5301513671875
2010;1235.96337890625
2011;1104.02294921875
2012;1099.3203125
2013;1177.1387939453125
2014;1251.9044189453125
2015;1106.120361328125
2016;1183.809814453125
2017;1320.21240234375
2018;1255.21337890625
2019;1562.183837890625
2020;1041.591064453125
2021;1294.648681640625
2022;1229.2972412109375
2023;1053.1251220703125
2024;1241.506591796875
2025;1095.7735595703125
2026;1053.7674560546875
2027;1266.8193359375
2028;1183.640380859375
2029;1215.9786376953125
2030;1154.127197265625
2031;1290.877197265625
2032;1009.5595092773438
2033;997.7724609375
2034;982.9236450195312
2035;1274.2425537109375
2036;1324.708251953125
2037;1192.153564453125
2038;1339.6954345703125
2039;903.677001953125
2040;980.517578125
2041;1007.7291870117188
2042;945.0687866210938
2043;959.5242309570312
2044;1274.365966796875
2045;989.6419677734375
2046;1071.6776123046875
2047;1340.3370361328125
2048;1077.489990234375
2049;1174.8590087890625
2050;1463.8819580078125
2051;1225.3359375
2052;1158.9267578125
2053;1200.8529052734375
2054;1185.9771728515625
2055;967.2078247070312
2056;1380.760498046875
2057;1119.04541015625
2058;1230.4365234375
2059;1063.3134765625
2060;1011.1878662109375
2061;1336.3250732421875
2062;1157.7176513671875
2063;1154.362548828125
2064;1093.013671875
2065;1186.2552490234375
2066;1170.01904296875
2067;977.8154296875
2068;942.4428100585938
2069;1128.0714111328125
2070;1106.978271484375
2071;1127.187744140625
2072;1038.0782470703125
2073;1085.4881591796875
2074;1174.575439453125
2075;1033.374267578125
2076;1135.89453125
2077;1185.8067626953125
2078;1173.7723388671875
2079;1192.7154541015625
2080;1248.7587890625
2081;1081.7265625
2082;1257.64453125
2083;1090.724609375
2084;1360.99267578125
2085;1182.8125
2086;1108.16748046875
2087;1005.7871704101562
2088;1132.817138671875
2089;1310.8193359375
2090;1154.5272216796875
2091;1370.554443359375
2092;1117.47802734375
2093;1150.89306640625
2094;931.4635009765625
2095;1345.445068359375
2096;1373.339111328125
2097;1158.26513671875
2098;1187.897705078125
2099;1273.34716796875
2100;1250.100341796875
