Year;Precipitation sum
1951;1000.3862915039062
1952;1187.5869140625
1953;1055.75146484375
1954;1214.3555908203125
1955;1090.247314453125
1956;1145.5467529296875
1957;1058.3970947265625
1958;1130.36962890625
1959;1294.17236328125
1960;1016.8616333007812
1961;1074.905029296875
1962;888.069580078125
1963;1142.74609375
1964;1136.826416015625
1965;1117.6461181640625
1966;1278.80029296875
1967;914.6984252929688
1968;1137.81201171875
1969;1058.9383544921875
1970;1026.8193359375
1971;990.6932983398438
1972;974.29541015625
1973;1235.2144775390625
1974;1276.283203125
1975;1135.8798828125
1976;939.450927734375
1977;1148.06591796875
1978;1065.7308349609375
1979;906.2786865234375
1980;1155.259765625
1981;1134.0936279296875
1982;1145.3621826171875
1983;918.242431640625
1984;1036.8370361328125
1985;1224.079345703125
1986;1126.81689453125
1987;1180.33154296875
1988;1049.017578125
1989;1169.6448974609375
1990;900.362060546875
1991;1229.19482421875
1992;1096.2640380859375
1993;1032.618408203125
1994;1349.44189453125
1995;1065.623291015625
1996;915.275634765625
1997;1050.4830322265625
1998;1255.634033203125
1999;884.7298583984375
2000;1240.1732177734375
2001;1154.25390625
2002;1319.14501953125
2003;1432.80224609375
2004;1220.572021484375
2005;989.4573364257812
2006;1419.331787109375
2007;1083.910888671875
2008;1030.43505859375
2009;1080.8525390625
2010;1013.66259765625
2011;1222.41064453125
2012;1211.3203125
2013;1180.308837890625
2014;1164.69384765625
2015;999.2290649414062
2016;1123.3818359375
2017;1105.004150390625
2018;1440.927734375
2019;1360.980224609375
2020;1083.153076171875
2021;1061.484619140625
2022;1049.6190185546875
2023;1081.76123046875
2024;1208.8931884765625
2025;1061.9169921875
2026;1221.736083984375
2027;1196.9410400390625
2028;1108.2083740234375
2029;1230.0228271484375
2030;1542.6915283203125
2031;1179.386962890625
2032;1259.9287109375
2033;1100.572509765625
2034;1568.2088623046875
2035;1177.795654296875
2036;1347.5828857421875
2037;1300.855224609375
2038;1225.257080078125
2039;1036.567626953125
2040;1336.276611328125
2041;1545.086669921875
2042;1655.593017578125
2043;1112.9027099609375
2044;1036.78857421875
2045;1551.9779052734375
2046;1322.3470458984375
2047;1570.6856689453125
2048;1566.5458984375
2049;1312.660888671875
2050;1037.461181640625
2051;1216.3734130859375
2052;1269.65673828125
2053;1220.6593017578125
2054;1265.2967529296875
2055;1316.7833251953125
2056;1401.89697265625
2057;1548.8734130859375
2058;1443.13720703125
2059;1383.325927734375
2060;1167.8172607421875
2061;1209.5919189453125
2062;1264.043212890625
2063;1174.403076171875
2064;1396.0716552734375
2065;1114.909423828125
2066;1235.8970947265625
2067;1296.444091796875
2068;1238.94921875
2069;1233.4468994140625
2070;1154.5166015625
2071;1401.74609375
2072;1222.626708984375
2073;1385.2900390625
2074;1432.203125
2075;896.7784423828125
2076;1274.17138671875
2077;1211.102783203125
2078;1223.140869140625
2079;1458.483642578125
2080;1226.0059814453125
2081;1136.6461181640625
2082;1606.112060546875
2083;1292.072021484375
2084;1290.0936279296875
2085;1376.7747802734375
2086;1370.542236328125
2087;1361.4208984375
2088;1077.390625
2089;1406.84716796875
2090;1012.6507568359375
2091;1422.15869140625
2092;1319.7720947265625
2093;1292.33837890625
2094;1407.556884765625
2095;1158.2999267578125
2096;1660.2864990234375
2097;1347.9853515625
2098;1461.422607421875
2099;1177.205810546875
2100;1166.9114990234375
