Year;Precipitation sum
1971;949.1324462890625
1972;1007.7440795898438
1973;1065.783935546875
1974;1094.172119140625
1975;1175.4879150390625
1976;1019.3488159179688
1977;1177.408447265625
1978;1283.7310791015625
1979;1057.613525390625
1980;1316.9384765625
1981;1155.9013671875
1982;691.1876220703125
1983;987.9856567382812
1984;1053.5989990234375
1985;1209.11572265625
1986;1201.045654296875
1987;1204.6885986328125
1988;1070.3126220703125
1989;1111.11962890625
1990;846.3125
1991;1077.100830078125
1992;1107.2005615234375
1993;824.2050170898438
1994;1157.721923828125
1995;1032.37939453125
1996;943.63720703125
1997;1176.3858642578125
1998;1411.887939453125
1999;1212.6778564453125
2000;1276.70556640625
2001;983.601806640625
2002;1213.169921875
2003;1338.34619140625
2004;1186.831298828125
2005;915.3463745117188
2006;1195.3841552734375
2007;1304.4354248046875
2008;1186.386474609375
2009;1100.6622314453125
2010;1167.0753173828125
2011;1149.724365234375
2012;1268.136474609375
2013;1376.8040771484375
2014;1081.37890625
2015;924.9003295898438
2016;1129.110595703125
2017;1234.090087890625
2018;987.496337890625
2019;1043.03466796875
2020;959.3016967773438
2021;1028.1182861328125
2022;958.5201416015625
2023;913.661376953125
2024;1415.84619140625
2025;930.5504150390625
2026;963.1643676757812
2027;1260.690673828125
2028;1132.4481201171875
2029;1210.340087890625
2030;1551.534912109375
2031;1016.1815185546875
2032;1175.233642578125
2033;1206.9873046875
2034;1393.834228515625
2035;1017.5347900390625
2036;1136.814208984375
2037;1047.72265625
2038;1185.4920654296875
2039;1096.3623046875
2040;986.6781005859375
2041;1436.528076171875
2042;1254.35693359375
2043;1158.353271484375
2044;1072.7591552734375
2045;1519.70458984375
2046;1348.7042236328125
2047;1346.336669921875
2048;1171.582763671875
2049;1313.4454345703125
2050;1217.485107421875
2051;1176.1680908203125
2052;1297.7454833984375
2053;1251.68896484375
2054;1058.271240234375
2055;1161.791259765625
2056;1310.89306640625
2057;1162.5216064453125
2058;1129.094970703125
2059;1273.2900390625
2060;1214.99658203125
2061;1177.592041015625
2062;1054.4688720703125
2063;986.3485107421875
2064;1346.741943359375
2065;1025.427001953125
2066;1197.241943359375
2067;1328.97705078125
2068;998.6187744140625
2069;1184.86328125
2070;1377.391357421875
2071;1151.1552734375
2072;1375.05712890625
2073;1189.7427978515625
2074;1353.083740234375
2075;996.42333984375
2076;1082.0928955078125
2077;1236.24853515625
2078;1058.575927734375
2079;1510.710693359375
2080;1198.896728515625
2081;1187.6748046875
2082;1271.5528564453125
2083;1026.4229736328125
2084;1120.310546875
2085;1426.1514892578125
2086;1314.69091796875
2087;1261.997314453125
2088;1357.1710205078125
2089;1169.817626953125
2090;1154.536376953125
2091;1203.3773193359375
2092;1282.6142578125
2093;1302.79638671875
2094;1328.0692138671875
2095;1262.671142578125
2096;1300.8795166015625
2097;1150.705810546875
2098;1348.647216796875
2099;1356.045654296875
2100;1051.3743896484375
