Year;Precipitation sum
1951;1242.0574951171875
1952;1175.15966796875
1953;1162.5927734375
1954;1124.6265869140625
1955;1280.7080078125
1956;1171.22998046875
1957;1299.1414794921875
1958;735.501220703125
1959;1248.365234375
1960;1062.9561767578125
1961;1178.132080078125
1962;1339.4718017578125
1963;919.6619873046875
1964;981.3819580078125
1965;1227.533447265625
1966;1366.9429931640625
1967;973.835693359375
1968;1144.415283203125
1969;1161.329833984375
1970;1063.2142333984375
1971;872.3672485351562
1972;1156.56689453125
1973;958.5501098632812
1974;1085.539306640625
1975;1228.8271484375
1976;1016.5364990234375
1977;1253.486083984375
1978;990.3927612304688
1979;1168.9896240234375
1980;1380.855224609375
1981;1363.5008544921875
1982;1128.8330078125
1983;1120.89306640625
1984;1270.2733154296875
1985;1124.0987548828125
1986;873.3225708007812
1987;754.021484375
1988;1123.1884765625
1989;1187.6348876953125
1990;1131.084716796875
1991;1023.0545043945312
1992;1068.48974609375
1993;1366.830078125
1994;1044.4798583984375
1995;1183.6856689453125
1996;1172.2568359375
1997;1025.328125
1998;1115.121337890625
1999;978.9923095703125
2000;1205.7418212890625
2001;1252.792236328125
2002;804.2908935546875
2003;1186.427001953125
2004;926.9703979492188
2005;857.0443725585938
2006;1414.732666015625
2007;1080.176025390625
2008;1057.5977783203125
2009;1101.360595703125
2010;1096.6458740234375
2011;1051.967041015625
2012;1210.2694091796875
2013;1393.515869140625
2014;1267.70703125
2015;1211.1240234375
2016;1309.978515625
2017;1101.3336181640625
2018;1072.3897705078125
2019;1026.71533203125
2020;1204.010498046875
2021;1493.971923828125
2022;1442.59375
2023;1271.65234375
2024;1227.140625
2025;1385.379150390625
2026;1211.85205078125
2027;1320.184814453125
2028;1153.779541015625
2029;1010.024658203125
2030;1100.95361328125
2031;1062.6441650390625
2032;1245.385009765625
2033;1134.2802734375
2034;1266.016357421875
2035;890.0821533203125
2036;1225.085205078125
2037;1176.0521240234375
2038;1114.7548828125
2039;1253.4547119140625
2040;1206.4547119140625
2041;932.60791015625
2042;1148.076904296875
2043;1257.1798095703125
2044;1159.23046875
2045;1195.8699951171875
2046;1099.98095703125
2047;857.4662475585938
2048;1021.953125
2049;1321.875
2050;1076.939697265625
2051;1233.7218017578125
2052;1265.408935546875
2053;1038.9464111328125
2054;1255.420166015625
2055;982.469970703125
2056;1169.73974609375
2057;1077.686279296875
2058;773.9005737304688
2059;1245.531005859375
2060;1193.417724609375
2061;927.0965576171875
2062;992.063232421875
2063;1011.8763427734375
2064;1203.2138671875
2065;1381.4620361328125
2066;1141.197509765625
2067;1150.1375732421875
2068;1213.30224609375
2069;1272.268798828125
2070;1146.42529296875
2071;954.30517578125
2072;1099.763427734375
2073;1406.34619140625
2074;1278.713623046875
2075;1675.921630859375
2076;978.3778686523438
2077;1205.385009765625
2078;1097.956787109375
2079;1171.075439453125
2080;1158.805908203125
2081;1224.564453125
2082;1068.32421875
2083;1340.765869140625
2084;1323.715087890625
2085;1094.031005859375
2086;1260.449462890625
2087;1082.5419921875
2088;1097.399169921875
2089;1331.7159423828125
2090;1219.3392333984375
2091;957.7410888671875
2092;1161.293212890625
2093;1179.4989013671875
2094;1270.340087890625
2095;1183.5128173828125
2096;1227.631591796875
2097;1129.8143310546875
2098;1156.118408203125
2099;1182.248291015625
2100;848.4024658203125
