Year;Precipitation sum
1951;1158.31298828125
1952;980.9143676757812
1953;1268.5994873046875
1954;1492.9718017578125
1955;1262.74658203125
1956;1316.9071044921875
1957;1209.1641845703125
1958;832.5720825195312
1959;1135.1588134765625
1960;1041.5552978515625
1961;1222.8812255859375
1962;1163.9095458984375
1963;799.7344970703125
1964;1051.033447265625
1965;1182.3663330078125
1966;1277.6181640625
1967;875.0875244140625
1968;926.964111328125
1969;1121.678955078125
1970;1170.720703125
1971;911.325439453125
1972;1047.6033935546875
1973;1102.057373046875
1974;1014.05859375
1975;1070.364013671875
1976;924.40478515625
1977;1114.538818359375
1978;1130.475341796875
1979;1085.31787109375
1980;1287.5770263671875
1981;1226.357666015625
1982;1226.52587890625
1983;1154.442138671875
1984;1127.248046875
1985;1128.4388427734375
1986;994.622314453125
1987;1037.02001953125
1988;1285.504638671875
1989;1074.04052734375
1990;1085.9453125
1991;1072.889404296875
1992;1194.6025390625
1993;1254.622314453125
1994;1135.67626953125
1995;1243.34375
1996;1221.897705078125
1997;1048.76611328125
1998;1125.6478271484375
1999;948.7489624023438
2000;1458.2203369140625
2001;1186.724365234375
2002;997.638671875
2003;1158.188232421875
2004;1154.069580078125
2005;832.954345703125
2006;1349.667236328125
2007;1184.9803466796875
2008;1145.7261962890625
2009;1223.461669921875
2010;1240.93359375
2011;1047.9053955078125
2012;1333.94921875
2013;1475.514404296875
2014;1315.6380615234375
2015;1162.815673828125
2016;1381.378662109375
2017;974.4340209960938
2018;1000.4598388671875
2019;1141.53564453125
2020;1212.4422607421875
2021;1231.86767578125
2022;1216.5738525390625
2023;1273.8798828125
2024;1359.921875
2025;1340.36865234375
2026;1286.63623046875
2027;1197.784423828125
2028;1236.818115234375
2029;1103.88134765625
2030;1100.78369140625
2031;1172.3173828125
2032;1202.71875
2033;1147.840087890625
2034;1388.240234375
2035;996.3684692382812
2036;1300.88671875
2037;1113.813720703125
2038;1175.02685546875
2039;1419.9566650390625
2040;1216.10400390625
2041;1031.80517578125
2042;1364.746337890625
2043;1145.1651611328125
2044;1135.6749267578125
2045;1118.4736328125
2046;1409.4541015625
2047;1117.6639404296875
2048;1027.50537109375
2049;1285.412353515625
2050;1259.212890625
2051;1149.00390625
2052;1184.5555419921875
2053;1118.03369140625
2054;1315.4755859375
2055;1030.487060546875
2056;1304.176513671875
2057;1071.027587890625
2058;1074.0860595703125
2059;1268.277099609375
2060;1319.76708984375
2061;1019.5470581054688
2062;1004.8646240234375
2063;1343.085205078125
2064;1291.5875244140625
2065;1446.1748046875
2066;1168.3359375
2067;1241.4422607421875
2068;1286.6640625
2069;1292.6324462890625
2070;1304.850341796875
2071;1042.927001953125
2072;1303.8681640625
2073;1532.5361328125
2074;1293.4415283203125
2075;1546.610107421875
2076;1249.618896484375
2077;1257.33984375
2078;1080.1986083984375
2079;1266.3466796875
2080;1236.50244140625
2081;1220.80029296875
2082;1219.1925048828125
2083;1413.671142578125
2084;1299.0654296875
2085;1044.4775390625
2086;1446.63720703125
2087;1086.308349609375
2088;1270.310546875
2089;1425.3944091796875
2090;1233.37353515625
2091;1131.35400390625
2092;1204.5078125
2093;1079.08642578125
2094;1318.774169921875
2095;1171.093505859375
2096;1336.616943359375
2097;1227.556640625
2098;1163.05126953125
2099;1241.9727783203125
2100;976.257080078125
