Year;Precipitation sum
1951;1267.81787109375
1952;971.1722412109375
1953;1106.908203125
1954;1216.793212890625
1955;1185.364501953125
1956;1055.621337890625
1957;1153.0732421875
1958;1105.24609375
1959;976.0513916015625
1960;980.582763671875
1961;961.2625122070312
1962;1068.8302001953125
1963;1204.090576171875
1964;1064.3028564453125
1965;1075.52880859375
1966;1026.40185546875
1967;1114.12646484375
1968;1159.4306640625
1969;1111.486328125
1970;1150.930419921875
1971;1011.79833984375
1972;1091.694091796875
1973;1229.525146484375
1974;1219.302978515625
1975;980.79638671875
1976;1139.0654296875
1977;1122.642822265625
1978;885.1987915039062
1979;922.435791015625
1980;1113.0830078125
1981;1205.5057373046875
1982;1060.373779296875
1983;1048.17431640625
1984;1265.8525390625
1985;1095.695068359375
1986;1094.564453125
1987;1195.756103515625
1988;1013.631103515625
1989;968.190185546875
1990;1192.387939453125
1991;1071.0703125
1992;1074.5113525390625
1993;1035.1522216796875
1994;1130.788330078125
1995;1229.5333251953125
1996;1169.615478515625
1997;1150.38720703125
1998;994.4271240234375
1999;1198.84130859375
2000;1137.65576171875
2001;1060.3258056640625
2002;1150.0299072265625
2003;1338.876953125
2004;1122.31884765625
2005;1071.7850341796875
2006;1081.5738525390625
2007;1184.5758056640625
2008;998.401611328125
2009;999.9776000976562
2010;1259.48388671875
2011;1040.590576171875
2012;1142.239501953125
2013;1121.3917236328125
2014;943.472412109375
2015;1283.156494140625
2016;1209.689208984375
2017;1163.95947265625
2018;1250.133544921875
2019;1101.9925537109375
2020;1110.785888671875
2021;899.4635009765625
2022;1199.9334716796875
2023;1242.441650390625
2024;1121.816162109375
2025;1086.7005615234375
2026;927.35107421875
2027;1117.376708984375
2028;981.8720092773438
2029;1256.3115234375
2030;1306.0208740234375
2031;1074.95654296875
2032;1289.54150390625
2033;1117.102294921875
2034;1039.88916015625
2035;959.7786254882812
2036;1008.9652099609375
2037;1042.51123046875
2038;1206.7760009765625
2039;1067.67529296875
2040;1139.6268310546875
2041;976.8781127929688
2042;978.675048828125
2043;1157.4324951171875
2044;920.77783203125
2045;958.7110595703125
2046;1366.46484375
2047;1162.47119140625
2048;756.6065063476562
2049;1156.7794189453125
2050;1152.525390625
2051;1172.643310546875
2052;897.7655029296875
2053;999.5682373046875
2054;955.4073486328125
2055;1005.5404663085938
2056;1123.1982421875
2057;1158.515869140625
2058;1199.0115966796875
2059;883.2711791992188
2060;1174.165771484375
2061;985.9090576171875
2062;1001.7332153320312
2063;1127.0238037109375
2064;1131.701904296875
2065;1015.1089477539062
2066;1252.338134765625
2067;1195.650634765625
2068;1032.1888427734375
2069;1421.7808837890625
2070;1047.020263671875
2071;1430.811279296875
2072;989.2100219726562
2073;1288.90283203125
2074;1270.6712646484375
2075;1083.8310546875
2076;981.7982177734375
2077;795.7601318359375
2078;986.330810546875
2079;773.3555908203125
2080;1215.02783203125
2081;1177.904541015625
2082;1324.8515625
2083;1052.319091796875
2084;1137.00830078125
2085;960.96533203125
2086;1033.073974609375
2087;1282.6788330078125
2088;1171.306884765625
2089;1239.62890625
2090;1300.655517578125
2091;894.7705078125
2092;1042.073974609375
2093;1278.9937744140625
2094;1118.435546875
2095;1205.532958984375
2096;1056.5528564453125
2097;1299.9007568359375
2098;1119.3148193359375
2099;1085.439208984375
2100;1111.9141845703125
