Year;Precipitation sum
1951;1242.0924072265625
1952;1175.3594970703125
1953;1162.58544921875
1954;1124.696044921875
1955;1280.712890625
1956;1171.271240234375
1957;1299.055419921875
1958;735.4051513671875
1959;1248.457275390625
1960;1062.8504638671875
1961;1178.022705078125
1962;1339.30517578125
1963;919.601806640625
1964;981.28369140625
1965;1227.3839111328125
1966;1367.021240234375
1967;973.8504638671875
1968;1144.4072265625
1969;1161.1085205078125
1970;1063.121337890625
1971;872.406982421875
1972;1156.5401611328125
1973;958.4320068359375
1974;1085.4652099609375
1975;1228.7235107421875
1976;1016.5634155273438
1977;1253.590576171875
1978;990.3818359375
1979;1169.15185546875
1980;1380.8731689453125
1981;1363.5538330078125
1982;1128.8170166015625
1983;1120.964111328125
1984;1270.135986328125
1985;1123.9033203125
1986;873.274658203125
1987;753.916015625
1988;1123.2340087890625
1989;1187.563720703125
1990;1131.1900634765625
1991;1023.1629638671875
1992;1068.406494140625
1993;1366.7919921875
1994;1044.2977294921875
1995;1183.683349609375
1996;1183.200927734375
1997;1029.810791015625
1998;1119.1103515625
1999;982.8411865234375
2000;1211.5322265625
2001;1259.642333984375
2002;808.1072387695312
2003;1187.81982421875
2004;933.3267822265625
2005;863.419189453125
2006;1237.10498046875
2007;1202.548583984375
2008;1019.3385009765625
2009;949.970703125
2010;1019.4385375976562
2011;1133.418701171875
2012;1228.53271484375
2013;1349.6607666015625
2014;973.0298461914062
2015;1204.612548828125
2016;1024.046630859375
2017;923.9339599609375
2018;1044.706298828125
2019;1175.9659423828125
2020;1170.0047607421875
2021;1456.2628173828125
2022;1199.373291015625
2023;1085.5150146484375
2024;1244.45751953125
2025;1114.478515625
2026;1172.686279296875
2027;846.7091064453125
2028;1130.560791015625
2029;1354.1849365234375
2030;1229.625
2031;1265.390869140625
2032;1063.3369140625
2033;1019.3914794921875
2034;1013.9993896484375
2035;1032.284912109375
2036;1120.0048828125
2037;1246.455078125
2038;1366.8734130859375
2039;937.5090942382812
2040;1260.634033203125
2041;1002.5676879882812
2042;1285.9755859375
2043;1161.886474609375
2044;1118.970947265625
2045;1251.346923828125
2046;1021.54638671875
2047;1427.041259765625
2048;1419.135009765625
2049;1046.357421875
2050;1101.40673828125
2051;1191.53466796875
2052;1029.32470703125
2053;1122.3143310546875
2054;1206.4671630859375
2055;951.7911987304688
2056;1080.3861083984375
2057;836.4171752929688
2058;1370.7333984375
2059;1274.2733154296875
2060;1300.1700439453125
2061;1075.47802734375
2062;1125.43505859375
2063;987.4797973632812
2064;1547.0042724609375
2065;1087.527099609375
2066;820.320556640625
2067;1411.196533203125
2068;1218.2142333984375
2069;1007.4813232421875
2070;1224.8564453125
2071;1611.436279296875
2072;1256.83056640625
2073;1298.677734375
2074;980.3331298828125
2075;1026.4765625
2076;1117.0428466796875
2077;1472.5657958984375
2078;1142.636962890625
2079;1268.5162353515625
2080;979.0316162109375
2081;993.7744140625
2082;1144.8760986328125
2083;964.9456787109375
2084;793.0933227539062
2085;1218.772705078125
2086;786.9454956054688
2087;1287.0201416015625
2088;1105.7412109375
2089;1082.344482421875
2090;1046.2313232421875
2091;1084.7333984375
2092;1009.70703125
2093;968.9627075195312
2094;1085.384033203125
2095;1158.3961181640625
2096;1235.9927978515625
2097;1409.3905029296875
2098;1243.455810546875
2099;902.4488525390625
2100;1102.74462890625
