Year;Precipitation sum
1971;819.00390625
1972;1016.4560546875
1973;979.0960693359375
1974;1039.915283203125
1975;1390.7237548828125
1976;1189.82763671875
1977;1124.8350830078125
1978;916.2146606445312
1979;1002.1350708007812
1980;1309.400390625
1981;1286.974365234375
1982;1102.54052734375
1983;1061.9835205078125
1984;929.83837890625
1985;931.6241455078125
1986;942.64208984375
1987;863.46923828125
1988;1261.1806640625
1989;1119.35205078125
1990;1082.427490234375
1991;971.392578125
1992;1255.2979736328125
1993;1117.4599609375
1994;1209.781982421875
1995;1233.6806640625
1996;1358.843994140625
1997;1057.197509765625
1998;1165.3038330078125
1999;999.116943359375
2000;1533.654541015625
2001;1122.874267578125
2002;941.5026245117188
2003;1240.863525390625
2004;1144.0804443359375
2005;866.765380859375
2006;1053.115966796875
2007;998.6641845703125
2008;1095.884033203125
2009;1113.94677734375
2010;1130.8505859375
2011;850.346435546875
2012;1360.999267578125
2013;1116.9642333984375
2014;798.9096069335938
2015;1369.7742919921875
2016;1234.072998046875
2017;1061.573974609375
2018;1096.108642578125
2019;1393.47705078125
2020;1099.426025390625
2021;1187.436279296875
2022;1314.680419921875
2023;1029.32763671875
2024;1038.01416015625
2025;1201.1611328125
2026;1282.5045166015625
2027;928.7135009765625
2028;1112.908935546875
2029;1272.6678466796875
2030;1222.2235107421875
2031;1302.1451416015625
2032;1156.112548828125
2033;1204.827392578125
2034;1019.3009643554688
2035;947.2032470703125
2036;1027.211669921875
2037;989.1705932617188
2038;1283.39697265625
2039;1109.332763671875
2040;1182.23681640625
2041;1098.554931640625
2042;1196.930908203125
2043;1141.954345703125
2044;1218.68603515625
2045;1192.83349609375
2046;1361.803466796875
2047;1206.634521484375
2048;1456.6339111328125
2049;1349.616943359375
2050;1246.0157470703125
2051;1114.3349609375
2052;1309.344970703125
2053;1239.9222412109375
2054;1109.4786376953125
2055;853.3704223632812
2056;1099.75146484375
2057;1022.4063110351562
2058;1247.8558349609375
2059;1269.27392578125
2060;1320.6651611328125
2061;1442.3297119140625
2062;1082.33544921875
2063;1025.03125
2064;1271.4261474609375
2065;1406.59716796875
2066;817.2664184570312
2067;1483.400390625
2068;1022.8817138671875
2069;1023.7412719726562
2070;1080.5892333984375
2071;1426.41943359375
2072;1092.16455078125
2073;1374.492431640625
2074;917.0174560546875
2075;959.8072509765625
2076;1015.4178466796875
2077;1531.43359375
2078;1376.313720703125
2079;1175.53466796875
2080;1255.6905517578125
2081;1177.89013671875
2082;1410.010498046875
2083;981.171875
2084;1124.072265625
2085;966.992431640625
2086;841.2219848632812
2087;1165.916259765625
2088;1139.5491943359375
2089;1379.4737548828125
2090;1164.7880859375
2091;1080.8109130859375
2092;1199.893798828125
2093;988.2876586914062
2094;1128.3038330078125
2095;1214.593994140625
2096;1472.041748046875
2097;1386.7724609375
2098;1209.1328125
2099;1136.0452880859375
2100;1313.5882568359375
