Year;Precipitation sum
1951;869.8253784179688
1952;1031.554931640625
1953;937.6632080078125
1954;1073.14404296875
1955;1063.0411376953125
1956;985.7135620117188
1957;986.131591796875
1958;1167.14697265625
1959;1009.6863403320312
1960;1283.049560546875
1961;1185.0335693359375
1962;1168.5733642578125
1963;1085.23828125
1964;1057.64599609375
1965;1158.006103515625
1966;951.9740600585938
1967;1083.540771484375
1968;1144.382568359375
1969;1286.53076171875
1970;1055.0244140625
1971;1136.4447021484375
1972;1051.9503173828125
1973;1031.39453125
1974;1063.354736328125
1975;988.3372802734375
1976;1058.0384521484375
1977;1129.663330078125
1978;1252.968017578125
1979;1031.9569091796875
1980;1028.72509765625
1981;1008.6331787109375
1982;882.3931884765625
1983;1467.06787109375
1984;1074.62109375
1985;1003.3336181640625
1986;928.373779296875
1987;1080.41650390625
1988;1218.191650390625
1989;1150.51171875
1990;1190.72998046875
1991;972.6121215820312
1992;1214.8472900390625
1993;1097.230712890625
1994;1352.6785888671875
1995;1047.500244140625
1996;998.4427490234375
1997;1254.6351318359375
1998;1063.730712890625
1999;1020.7197265625
2000;1083.2034912109375
2001;1216.765625
2002;1263.103759765625
2003;1075.0531005859375
2004;1169.5029296875
2005;1188.02197265625
2006;1428.99951171875
2007;968.5423583984375
2008;1047.816162109375
2009;1246.579345703125
2010;1206.963623046875
2011;956.2822875976562
2012;1177.9189453125
2013;1113.188720703125
2014;1304.520751953125
2015;1103.37841796875
2016;945.2116088867188
2017;1487.4432373046875
2018;997.1237182617188
2019;1143.0780029296875
2020;1020.993408203125
2021;1074.159423828125
2022;1181.4505615234375
2023;1132.24169921875
2024;1061.25927734375
2025;1008.2684936523438
2026;1097.277099609375
2027;1040.3763427734375
2028;1211.84326171875
2029;1321.927490234375
2030;1067.182861328125
2031;1293.181640625
2032;1075.1092529296875
2033;1194.4847412109375
2034;1107.48095703125
2035;1084.175537109375
2036;1263.988525390625
2037;1209.311279296875
2038;937.4235229492188
2039;872.1455078125
2040;1028.028564453125
2041;1186.0640869140625
2042;1146.9493408203125
2043;1262.9306640625
2044;1051.95458984375
2045;1402.2261962890625
2046;1489.01708984375
2047;1244.38720703125
2048;1234.93310546875
2049;989.3189086914062
2050;1086.07958984375
2051;1127.3714599609375
2052;1372.7003173828125
2053;909.2093505859375
2054;1351.001220703125
2055;1085.929931640625
2056;1233.42431640625
2057;1143.688720703125
2058;940.38134765625
2059;963.5035400390625
2060;1099.23583984375
2061;1294.0958251953125
2062;1389.2762451171875
2063;1139.2021484375
2064;1170.3544921875
2065;1178.5234375
2066;1184.261474609375
2067;1260.0638427734375
2068;959.9459838867188
2069;1251.9471435546875
2070;1118.8427734375
2071;1285.6673583984375
2072;1268.225341796875
2073;948.7542724609375
2074;1174.176025390625
2075;1182.7874755859375
2076;1159.2489013671875
2077;1096.6744384765625
2078;1234.6259765625
2079;981.6510009765625
2080;1211.22509765625
2081;1252.4576416015625
2082;1255.7955322265625
2083;967.1629638671875
2084;1266.4971923828125
2085;1343.37548828125
2086;1088.41796875
2087;1223.0755615234375
2088;1139.267822265625
2089;1431.4892578125
2090;1152.89990234375
2091;1210.54052734375
2092;1263.993408203125
2093;1174.972412109375
2094;1265.2470703125
2095;1107.9046630859375
2096;1184.577392578125
2097;1246.4373779296875
2098;1043.0869140625
2099;1247.24560546875
2100;1456.476806640625
