Year;Precipitation sum
1951;1267.7078857421875
1952;971.2642211914062
1953;1106.96826171875
1954;1216.8482666015625
1955;1185.228271484375
1956;1055.7728271484375
1957;1153.213623046875
1958;1105.33837890625
1959;976.0479736328125
1960;980.8079833984375
1961;961.0721435546875
1962;1068.88232421875
1963;1204.0302734375
1964;1064.353759765625
1965;1075.60595703125
1966;1026.354248046875
1967;1114.0101318359375
1968;1159.449951171875
1969;1111.5595703125
1970;1151.0015869140625
1971;1011.9157104492188
1972;1091.7393798828125
1973;1229.514892578125
1974;1219.39453125
1975;980.8402099609375
1976;1138.844970703125
1977;1122.67822265625
1978;885.2271728515625
1979;922.4482421875
1980;1113.01611328125
1981;1205.433837890625
1982;1060.3292236328125
1983;1048.2471923828125
1984;1265.73388671875
1985;1095.5372314453125
1986;1094.5540771484375
1987;1195.84033203125
1988;1013.710693359375
1989;968.1029663085938
1990;1192.3704833984375
1991;1071.0418701171875
1992;1074.5101318359375
1993;1034.9866943359375
1994;1130.7103271484375
1995;1229.395751953125
1996;1170.676513671875
1997;1151.7645263671875
1998;995.1243896484375
1999;1201.23974609375
2000;1142.501220703125
2001;1062.964599609375
2002;1153.34423828125
2003;1339.759521484375
2004;1123.363037109375
2005;1070.609619140625
2006;1068.260498046875
2007;999.6105346679688
2008;1241.3465576171875
2009;848.04541015625
2010;1213.276611328125
2011;1087.1732177734375
2012;1140.300537109375
2013;1190.852783203125
2014;1114.704345703125
2015;954.551513671875
2016;1268.8603515625
2017;977.0880737304688
2018;899.42919921875
2019;1421.772216796875
2020;1214.5537109375
2021;757.9713134765625
2022;1050.163330078125
2023;1081.7982177734375
2024;1216.4453125
2025;1026.081787109375
2026;1042.721435546875
2027;1045.4029541015625
2028;900.4708251953125
2029;1319.16552734375
2030;1308.8323974609375
2031;1040.916748046875
2032;1093.473876953125
2033;932.7661743164062
2034;1142.418701171875
2035;1373.748291015625
2036;1098.909423828125
2037;1096.62890625
2038;930.5592041015625
2039;1159.820068359375
2040;1113.235107421875
2041;1288.3349609375
2042;1077.010986328125
2043;1274.271484375
2044;1091.17626953125
2045;1141.7591552734375
2046;1283.3424072265625
2047;1419.20166015625
2048;1294.88134765625
2049;1140.429931640625
2050;1281.7884521484375
2051;1058.919189453125
2052;1238.5587158203125
2053;1306.2738037109375
2054;1057.23291015625
2055;1208.9708251953125
2056;1257.01025390625
2057;897.051025390625
2058;1328.716796875
2059;1277.8475341796875
2060;1163.00341796875
2061;1338.124755859375
2062;1363.669921875
2063;1096.1207275390625
2064;1234.886962890625
2065;1386.00048828125
2066;1216.122314453125
2067;1259.502197265625
2068;1291.4814453125
2069;1225.255615234375
2070;1455.7266845703125
2071;1352.183349609375
2072;928.103271484375
2073;977.8453369140625
2074;1263.3414306640625
2075;1006.1215209960938
2076;1048.592041015625
2077;1311.740966796875
2078;989.0579223632812
2079;1111.3704833984375
2080;1139.87158203125
2081;1176.65771484375
2082;1149.3990478515625
2083;1053.203125
2084;1266.699951171875
2085;1425.263671875
2086;1073.64404296875
2087;1172.53125
2088;1312.5361328125
2089;1552.7030029296875
2090;1493.294921875
2091;1193.2020263671875
2092;1282.061279296875
2093;1139.3919677734375
2094;1167.113525390625
2095;1246.5880126953125
2096;1377.78466796875
2097;1482.00244140625
2098;1178.0103759765625
2099;1311.479248046875
2100;1035.552001953125
