Year;Precipitation sum
1951;926.9020385742188
1952;1237.5400390625
1953;1076.5986328125
1954;1132.571533203125
1955;1140.383544921875
1956;1130.009521484375
1957;1189.1134033203125
1958;1008.2432861328125
1959;1189.2879638671875
1960;1054.36328125
1961;835.8248291015625
1962;1044.3067626953125
1963;1188.5615234375
1964;1051.5133056640625
1965;1172.26611328125
1966;1234.843994140625
1967;952.16259765625
1968;1185.5247802734375
1969;1154.8701171875
1970;1127.626220703125
1971;1071.8763427734375
1972;1161.7913818359375
1973;1181.0399169921875
1974;1111.251953125
1975;1062.5537109375
1976;923.55859375
1977;1280.8331298828125
1978;1160.7928466796875
1979;1051.032958984375
1980;1095.43017578125
1981;1153.908935546875
1982;1100.620849609375
1983;1102.1591796875
1984;1082.137939453125
1985;1194.5692138671875
1986;1255.24853515625
1987;1027.4586181640625
1988;927.162353515625
1989;1279.279052734375
1990;1297.525390625
1991;1023.9215087890625
1992;995.847412109375
1993;1049.81982421875
1994;1054.936767578125
1995;998.2008056640625
1996;1048.8763427734375
1997;1087.3922119140625
1998;969.8206787109375
1999;1226.0421142578125
2000;1143.994873046875
2001;1267.255126953125
2002;1128.6343994140625
2003;1026.3538818359375
2004;1136.42431640625
2005;1175.0625
2006;1207.3289794921875
2007;1213.984130859375
2008;1275.345458984375
2009;1138.8076171875
2010;1325.9337158203125
2011;939.0960083007812
2012;1249.1845703125
2013;820.6776123046875
2014;1145.1541748046875
2015;1294.07080078125
2016;1398.69189453125
2017;1268.658935546875
2018;1005.3858642578125
2019;1056.516845703125
2020;1296.387939453125
2021;1140.512451171875
2022;1068.6448974609375
2023;1240.175048828125
2024;982.6461791992188
2025;1278.10888671875
2026;1231.2789306640625
2027;1132.483154296875
2028;851.0106201171875
2029;1119.564453125
2030;1260.4967041015625
2031;1296.5843505859375
2032;1506.9486083984375
2033;1154.5478515625
2034;1240.0250244140625
2035;1156.598876953125
2036;1314.6993408203125
2037;1013.2924194335938
2038;910.2371826171875
2039;1092.99267578125
2040;1041.853759765625
2041;1017.10693359375
2042;1381.5308837890625
2043;1011.3154907226562
2044;1228.658203125
2045;1129.5318603515625
2046;1055.9168701171875
2047;1253.039794921875
2048;1174.217041015625
2049;1201.997314453125
2050;1206.5205078125
2051;1234.7071533203125
2052;1200.256591796875
2053;1169.7919921875
2054;1404.77978515625
2055;1053.366943359375
2056;1014.2376708984375
2057;1289.506591796875
2058;1258.791015625
2059;1262.759521484375
2060;1561.123779296875
2061;1366.8583984375
2062;1158.853759765625
2063;1220.4593505859375
2064;1122.25341796875
2065;1264.1845703125
2066;1293.1304931640625
2067;1289.9031982421875
2068;1172.2076416015625
2069;1129.342529296875
2070;1038.360595703125
2071;1079.581787109375
2072;1313.7491455078125
2073;1049.4522705078125
2074;1223.2431640625
2075;1447.55224609375
2076;1296.2369384765625
2077;1368.371337890625
2078;1317.650146484375
2079;1183.298095703125
2080;1141.781494140625
2081;1090.0029296875
2082;1168.5687255859375
2083;1378.3028564453125
2084;1105.149658203125
2085;1229.7701416015625
2086;1216.2803955078125
2087;1322.796875
2088;1208.04443359375
2089;1334.5634765625
2090;1371.081298828125
2091;1210.5380859375
2092;1114.5069580078125
2093;1252.5262451171875
2094;1335.842041015625
2095;1206.868408203125
2096;1179.390380859375
2097;1280.3299560546875
2098;1471.3564453125
2099;1476.3330078125
2100;1125.986083984375
