Year;Precipitation sum
1971;1091.8974609375
1972;1033.7073974609375
1973;1075.9765625
1974;959.2750244140625
1975;1106.583251953125
1976;1084.84033203125
1977;1164.303955078125
1978;962.3970947265625
1979;930.3701171875
1980;1158.125244140625
1981;1046.03515625
1982;1247.906494140625
1983;1078.2283935546875
1984;1222.8765869140625
1985;1090.60205078125
1986;1159.0078125
1987;1047.96044921875
1988;915.0044555664062
1989;1219.822021484375
1990;1178.1824951171875
1991;1116.9559326171875
1992;1160.454345703125
1993;1202.107421875
1994;907.3456420898438
1995;1018.65185546875
1996;1271.4453125
1997;1446.646484375
1998;994.685791015625
1999;1229.197509765625
2000;1085.70556640625
2001;964.3258056640625
2002;942.2198486328125
2003;1218.0909423828125
2004;1045.4638671875
2005;1014.219482421875
2006;1240.9625244140625
2007;1602.04052734375
2008;1092.71142578125
2009;1259.41015625
2010;963.530517578125
2011;1153.4266357421875
2012;845.322021484375
2013;1256.416748046875
2014;1203.2529296875
2015;1149.612548828125
2016;1064.914794921875
2017;1045.3154296875
2018;1366.61767578125
2019;1385.77783203125
2020;1130.435546875
2021;936.8793334960938
2022;1320.933837890625
2023;1240.670654296875
2024;1112.074462890625
2025;1279.2000732421875
2026;1250.9676513671875
2027;1153.631591796875
2028;992.078369140625
2029;1189.653076171875
2030;1132.2054443359375
2031;1255.2010498046875
2032;1048.355224609375
2033;1207.9627685546875
2034;1395.1962890625
2035;1060.778076171875
2036;1049.385498046875
2037;1238.5166015625
2038;1151.3717041015625
2039;1391.025634765625
2040;1117.734130859375
2041;1211.3118896484375
2042;1059.0440673828125
2043;988.0598754882812
2044;1241.6025390625
2045;1164.2021484375
2046;1182.421142578125
2047;1346.94091796875
2048;1124.904541015625
2049;1208.539306640625
2050;1306.498046875
2051;1088.17724609375
2052;1376.433349609375
2053;1437.3065185546875
2054;1235.5704345703125
2055;965.2766723632812
2056;1166.3148193359375
2057;1083.65283203125
2058;1207.6904296875
2059;1137.39501953125
2060;1060.451171875
2061;1167.97509765625
2062;1329.845947265625
2063;1369.6837158203125
2064;1161.0789794921875
2065;990.1290893554688
2066;1371.3193359375
2067;1042.67236328125
2068;1249.2115478515625
2069;1107.66259765625
2070;1127.0701904296875
2071;1078.3145751953125
2072;1160.1195068359375
2073;1224.338134765625
2074;1173.405029296875
2075;1442.89599609375
2076;1113.869140625
2077;1025.2861328125
2078;1313.10888671875
2079;1233.8985595703125
2080;1168.441162109375
2081;1259.8486328125
2082;1302.942626953125
2083;1193.82421875
2084;1314.516357421875
2085;1009.1703491210938
2086;1283.322509765625
2087;1214.1260986328125
2088;1285.959228515625
2089;1004.1021118164062
2090;1357.2369384765625
2091;911.951416015625
2092;1422.7210693359375
2093;1138.7763671875
2094;1577.682861328125
2095;1389.28125
2096;1305.178955078125
2097;963.95458984375
2098;1148.9283447265625
2099;1217.90478515625
2100;1132.333251953125
