Year;Precipitation sum
1971;860.752197265625
1972;920.9429931640625
1973;1106.6121826171875
1974;1160.89208984375
1975;1083.469482421875
1976;1352.0902099609375
1977;1344.9161376953125
1978;1148.5731201171875
1979;1118.06787109375
1980;1382.271728515625
1981;970.291015625
1982;1270.8455810546875
1983;879.5078735351562
1984;873.5227661132812
1985;1083.676513671875
1986;891.72705078125
1987;1048.003173828125
1988;910.430908203125
1989;1107.2685546875
1990;1296.5185546875
1991;1175.23681640625
1992;996.0550537109375
1993;812.3067626953125
1994;1135.785888671875
1995;1116.5843505859375
1996;1220.090576171875
1997;887.0931396484375
1998;857.2274169921875
1999;982.0679321289062
2000;818.049560546875
2001;965.292724609375
2002;1151.045166015625
2003;1199.147705078125
2004;1343.826904296875
2005;1010.13037109375
2006;1095.4169921875
2007;1168.85205078125
2008;1061.9130859375
2009;1148.9527587890625
2010;971.2572021484375
2011;861.1895751953125
2012;1153.0894775390625
2013;1140.84521484375
2014;1330.69970703125
2015;1194.7803955078125
2016;1177.8450927734375
2017;934.93505859375
2018;1015.2090454101562
2019;1197.873779296875
2020;1053.4619140625
2021;1172.189697265625
2022;1049.36962890625
2023;1178.015380859375
2024;981.193603515625
2025;1293.74072265625
2026;762.6636352539062
2027;1019.453857421875
2028;1066.8248291015625
2029;1350.7353515625
2030;1251.5302734375
2031;1100.254638671875
2032;1086.68408203125
2033;846.3994750976562
2034;1319.105224609375
2035;1371.404296875
2036;1393.841552734375
2037;833.1846923828125
2038;1075.066162109375
2039;1000.67578125
2040;862.5985107421875
2041;1122.15478515625
2042;991.9920043945312
2043;1263.72314453125
2044;1340.227783203125
2045;941.446533203125
2046;1207.18212890625
2047;885.732666015625
2048;1170.4163818359375
2049;1341.43798828125
2050;901.76416015625
2051;1031.742431640625
2052;1233.0938720703125
2053;961.3192749023438
2054;1017.2445068359375
2055;1270.0517578125
2056;1086.8770751953125
2057;744.6279296875
2058;1195.42822265625
2059;1287.7462158203125
2060;1109.427001953125
2061;1484.817626953125
2062;1237.8277587890625
2063;1004.2833251953125
2064;1356.8795166015625
2065;1124.136962890625
2066;1099.6796875
2067;1049.4146728515625
2068;1238.738525390625
2069;1252.611328125
2070;1254.618896484375
2071;838.79150390625
2072;1143.726806640625
2073;1076.701416015625
2074;884.4838256835938
2075;1319.5721435546875
2076;1342.9107666015625
2077;601.671630859375
2078;680.21240234375
2079;1289.943115234375
2080;1076.5419921875
2081;976.30810546875
2082;950.8108520507812
2083;1051.5986328125
2084;1173.333740234375
2085;1219.1591796875
2086;1149.4169921875
2087;1251.402099609375
2088;1371.467529296875
2089;1195.18212890625
2090;1202.0645751953125
2091;1099.018798828125
2092;1180.93701171875
2093;857.167724609375
2094;1301.3267822265625
2095;906.3626708984375
2096;1358.001953125
2097;1003.1134643554688
2098;1280.1026611328125
2099;1054.9588623046875
