Year;Precipitation sum
1951;800.3785400390625
1952;1172.546875
1953;1034.1319580078125
1954;1059.70263671875
1955;1202.1767578125
1956;1107.61767578125
1957;1247.86767578125
1958;1143.304443359375
1959;1064.0513916015625
1960;874.6307983398438
1961;853.9964599609375
1962;1048.7652587890625
1963;711.7120971679688
1964;1141.218017578125
1965;1104.7249755859375
1966;980.181884765625
1967;946.759521484375
1968;903.956298828125
1969;1044.9774169921875
1970;1358.1143798828125
1971;878.5574951171875
1972;884.020751953125
1973;973.3479614257812
1974;956.4295654296875
1975;928.657470703125
1976;1266.162353515625
1977;1277.221923828125
1978;878.7244873046875
1979;1221.497802734375
1980;1261.7752685546875
1981;899.7532958984375
1982;1255.4991455078125
1983;998.218017578125
1984;926.0741577148438
1985;943.6876220703125
1986;920.6922607421875
1987;1102.963134765625
1988;1148.124755859375
1989;1192.862060546875
1990;1100.40087890625
1991;887.65087890625
1992;1120.743408203125
1993;785.5548095703125
1994;1152.8548583984375
1995;1044.2447509765625
1996;1158.6689453125
1997;1026.4791259765625
1998;746.748046875
1999;998.646484375
2000;1019.8469848632812
2001;1116.45068359375
2002;926.0005493164062
2003;1062.967041015625
2004;1452.887451171875
2005;647.166259765625
2006;1120.3643798828125
2007;1171.9036865234375
2008;1055.776611328125
2009;866.4972534179688
2010;1083.658203125
2011;1106.211181640625
2012;1026.6904296875
2013;900.0257568359375
2014;1037.38916015625
2015;985.5746459960938
2016;1204.892822265625
2017;1165.970458984375
2018;1136.748046875
2019;678.9864501953125
2020;1228.952880859375
2021;695.0985107421875
2022;1183.665771484375
2023;953.452880859375
2024;1063.202880859375
2025;824.90576171875
2026;1024.7469482421875
2027;1194.459716796875
2028;832.556884765625
2029;1246.15576171875
2030;1011.601318359375
2031;1007.9424438476562
2032;1000.73779296875
2033;1228.67138671875
2034;899.901611328125
2035;926.4508056640625
2036;1190.091796875
2037;1024.2445068359375
2038;1225.705322265625
2039;1014.500732421875
2040;1035.23193359375
2041;733.900146484375
2042;988.67578125
2043;1086.2952880859375
2044;1054.935302734375
2045;1134.1995849609375
2046;1219.765869140625
2047;1100.7506103515625
2048;1095.84912109375
2049;707.3213500976562
2050;1018.0756225585938
2051;898.507568359375
2052;874.5491943359375
2053;939.966796875
2054;912.9337768554688
2055;719.7259521484375
2056;1122.072998046875
2057;1164.8621826171875
2058;674.7650146484375
2059;918.0723876953125
2060;687.7266845703125
2061;890.2603759765625
2062;992.127197265625
2063;742.9342041015625
2064;817.5291137695312
2065;1431.64697265625
2066;1145.23779296875
2067;1403.514892578125
2068;881.8310546875
2069;1157.1884765625
2070;801.302734375
2071;752.10107421875
2072;975.8206787109375
2073;1101.507080078125
2074;543.5885009765625
2075;1013.5241088867188
2076;1095.6964111328125
2077;1130.8387451171875
2078;1153.3089599609375
2079;1044.619384765625
2080;768.0374755859375
2081;847.5369262695312
2082;1166.82080078125
2083;846.1276245117188
2084;1072.3858642578125
2085;1243.0377197265625
2086;1049.323486328125
2087;710.478759765625
2088;738.37841796875
2089;857.5400390625
2090;955.7440185546875
2091;671.0411987304688
2092;744.6436767578125
2093;1172.078369140625
2094;978.843994140625
2095;957.75927734375
2096;778.6207275390625
2097;902.9329833984375
2098;1034.2313232421875
2099;1069.1365966796875
