Year;Precipitation sum
1971;860.676513671875
1972;920.9378662109375
1973;1106.5360107421875
1974;1160.964599609375
1975;1083.427490234375
1976;1352.00244140625
1977;1344.828125
1978;1148.4532470703125
1979;1118.0987548828125
1980;1382.352294921875
1981;970.2374267578125
1982;1270.931884765625
1983;879.55029296875
1984;873.3963623046875
1985;1083.50146484375
1986;891.6212158203125
1987;1047.8538818359375
1988;910.326171875
1989;1107.3463134765625
1990;1296.48974609375
1991;1175.2379150390625
1992;996.0076293945312
1993;812.41015625
1994;1135.80078125
1995;1116.6846923828125
1996;1223.77197265625
1997;891.0341796875
1998;856.64697265625
1999;980.056884765625
2000;820.9035034179688
2001;969.2964477539062
2002;1154.6280517578125
2003;1200.738037109375
2004;1346.732666015625
2005;1014.5057983398438
2006;1032.0218505859375
2007;1203.836669921875
2008;1313.5203857421875
2009;780.9893188476562
2010;1161.438720703125
2011;992.4095458984375
2012;960.641357421875
2013;745.4049072265625
2014;1174.8623046875
2015;1025.497314453125
2016;1153.24462890625
2017;1109.786376953125
2018;984.1715087890625
2019;801.15673828125
2020;1222.126220703125
2021;992.1637573242188
2022;1325.47119140625
2023;986.135986328125
2024;998.453125
2025;817.1768798828125
2026;989.810302734375
2027;1285.0933837890625
2028;1072.3619384765625
2029;1023.95947265625
2030;992.7612915039062
2031;1135.061767578125
2032;1251.7821044921875
2033;1211.0283203125
2034;1096.9423828125
2035;1175.816650390625
2036;1182.61669921875
2037;1476.68994140625
2038;1146.7589111328125
2039;1457.699951171875
2040;1202.87646484375
2041;953.5266723632812
2042;923.2327270507812
2043;946.845947265625
2044;1207.0860595703125
2045;1188.4891357421875
2046;1364.03857421875
2047;1268.9583740234375
2048;996.8612670898438
2049;797.2099609375
2050;1208.9765625
2051;1056.58349609375
2052;1265.943359375
2053;1381.0615234375
2054;1039.737548828125
2055;853.15087890625
2056;990.3939819335938
2057;1093.3006591796875
2058;846.1227416992188
2059;1240.1173095703125
2060;1073.881103515625
2061;1329.96923828125
2062;1122.8388671875
2063;1005.1655883789062
2064;1237.988525390625
2065;1219.4925537109375
2066;1242.354736328125
2067;1859.533203125
2068;1095.783203125
2069;1179.830810546875
2070;907.4127197265625
2071;1101.02197265625
2072;1146.312255859375
2073;1265.0003662109375
2074;612.6168212890625
2075;1029.9482421875
2076;1764.431884765625
2077;1335.75244140625
2078;1265.2987060546875
2079;1182.72607421875
2080;1184.696044921875
2081;919.5573120117188
2082;1179.305908203125
2083;881.6611328125
2084;1117.626220703125
2085;1246.349609375
2086;1042.67236328125
2087;1244.78564453125
2088;790.1483154296875
2089;1237.48828125
2090;1256.617431640625
2091;996.3234252929688
2092;827.3670654296875
2093;1278.189697265625
2094;1005.7902221679688
2095;1379.656982421875
2096;1071.04150390625
2097;1269.167724609375
2098;1147.77978515625
2099;1115.3109130859375
