Year;Precipitation sum
1971;1188.205078125
1972;1174.822021484375
1973;1062.249267578125
1974;1195.40087890625
1975;1085.9107666015625
1976;915.58251953125
1977;1115.142578125
1978;1157.0390625
1979;920.5044555664062
1980;1301.889892578125
1981;888.9194946289062
1982;916.3771362304688
1983;960.1363525390625
1984;927.781494140625
1985;1196.4814453125
1986;1138.7437744140625
1987;1112.661376953125
1988;1078.98828125
1989;1332.948486328125
1990;1267.130615234375
1991;1311.23681640625
1992;1243.258056640625
1993;1107.81591796875
1994;1158.2928466796875
1995;1250.11572265625
1996;1208.22216796875
1997;1048.94677734375
1998;1397.6617431640625
1999;1023.0931396484375
2000;867.9866943359375
2001;1142.064697265625
2002;1023.5860595703125
2003;1135.306884765625
2004;1087.0450439453125
2005;918.9660034179688
2006;1212.0390625
2007;1133.625
2008;1363.16455078125
2009;1132.791259765625
2010;1177.4603271484375
2011;1145.8433837890625
2012;1278.9227294921875
2013;1345.116943359375
2014;1145.76416015625
2015;966.3320922851562
2016;1007.8204345703125
2017;1052.6876220703125
2018;965.529541015625
2019;1013.4674682617188
2020;1036.7694091796875
2021;1014.4893188476562
2022;1154.494873046875
2023;1222.3978271484375
2024;1292.03955078125
2025;1003.523681640625
2026;1173.640380859375
2027;1265.5216064453125
2028;1399.162841796875
2029;1248.827880859375
2030;1365.142333984375
2031;1192.8406982421875
2032;1069.6669921875
2033;982.8504638671875
2034;965.2293701171875
2035;1236.0279541015625
2036;1241.3162841796875
2037;1439.368408203125
2038;1268.7977294921875
2039;1031.6954345703125
2040;1142.0269775390625
2041;1330.175048828125
2042;1023.0628662109375
2043;1273.65625
2044;1301.71484375
2045;1111.4248046875
2046;1388.5107421875
2047;1182.985595703125
2048;1009.97998046875
2049;932.47900390625
2050;1098.46435546875
2051;1202.524169921875
2052;1211.5518798828125
2053;1072.91357421875
2054;1208.3775634765625
2055;958.5547485351562
2056;1283.71044921875
2057;1251.426025390625
2058;990.7809448242188
2059;1578.97998046875
2060;1216.1947021484375
2061;1117.569580078125
2062;1281.407470703125
2063;1010.2058715820312
2064;1284.81884765625
2065;1231.77392578125
2066;1096.265869140625
2067;1034.25732421875
2068;1230.504150390625
2069;1294.03564453125
2070;924.7064208984375
2071;1265.679443359375
2072;981.4086303710938
2073;753.5333251953125
2074;1595.82275390625
2075;927.9755249023438
2076;1152.93603515625
2077;1338.1541748046875
2078;1012.271728515625
2079;864.1270751953125
2080;997.6146850585938
2081;1061.617431640625
2082;1011.667724609375
2083;1182.5596923828125
2084;1295.94384765625
2085;1105.459716796875
2086;1288.675537109375
2087;1187.3123779296875
2088;950.1216430664062
2089;1081.80712890625
2090;944.3972778320312
2091;1052.604736328125
2092;1134.546630859375
2093;1655.290771484375
2094;1198.362060546875
2095;1119.739501953125
2096;1184.67578125
2097;1303.961669921875
2098;1456.2000732421875
2099;1190.086669921875
2100;901.6837158203125
