Year;Precipitation sum
1951;1320.532958984375
1952;1099.98193359375
1953;1171.35888671875
1954;1285.6951904296875
1955;866.5121459960938
1956;1086.152099609375
1957;1097.2763671875
1958;1198.453369140625
1959;1142.853515625
1960;1062.525390625
1961;819.4654541015625
1962;1064.829833984375
1963;1084.919189453125
1964;1086.7528076171875
1965;1210.48974609375
1966;1262.7696533203125
1967;1086.561279296875
1968;1148.52197265625
1969;1145.6151123046875
1970;742.6707153320312
1971;989.5157470703125
1972;1140.78955078125
1973;1125.656494140625
1974;1028.8260498046875
1975;1023.0107421875
1976;987.86376953125
1977;1077.623291015625
1978;962.3018188476562
1979;961.7625732421875
1980;1197.079345703125
1981;981.185546875
1982;1144.6593017578125
1983;993.00537109375
1984;1194.077392578125
1985;1224.69970703125
1986;1347.860107421875
1987;1170.3206787109375
1988;1097.182861328125
1989;1189.105712890625
1990;1086.7119140625
1991;1180.0556640625
1992;1035.369140625
1993;1204.95361328125
1994;1170.3311767578125
1995;987.0418701171875
1996;1237.47314453125
1997;1229.540771484375
1998;1133.4468994140625
1999;1080.1689453125
2000;928.3367309570312
2001;1019.4054565429688
2002;1002.8805541992188
2003;1149.18603515625
2004;1374.2314453125
2005;1061.166748046875
2006;1180.081298828125
2007;1053.513916015625
2008;1120.859130859375
2009;1073.459716796875
2010;1365.273681640625
2011;1372.7822265625
2012;1123.007080078125
2013;1233.0125732421875
2014;1061.6273193359375
2015;1083.422607421875
2016;1176.030517578125
2017;1145.6707763671875
2018;1001.2008056640625
2019;1133.93505859375
2020;961.978515625
2021;839.6397705078125
2022;1252.88330078125
2023;1247.525146484375
2024;811.7068481445312
2025;1031.5601806640625
2026;1407.2864990234375
2027;1237.5135498046875
2028;1132.955810546875
2029;1274.17626953125
2030;1185.051025390625
2031;1119.33740234375
2032;1305.29248046875
2033;1300.6824951171875
2034;1055.6500244140625
2035;1332.8187255859375
2036;1157.7005615234375
2037;1158.7138671875
2038;1206.4970703125
2039;1202.0650634765625
2040;1235.2962646484375
2041;1153.3609619140625
2042;1058.147216796875
2043;1175.6839599609375
2044;1025.83984375
2045;1196.938232421875
2046;1342.0078125
2047;1175.188720703125
2048;1017.7037353515625
2049;1152.701416015625
2050;1177.018798828125
2051;1293.9111328125
2052;1310.4376220703125
2053;915.3779296875
2054;1298.1441650390625
2055;1270.76513671875
2056;1353.33544921875
2057;1188.8277587890625
2058;1302.4881591796875
2059;1034.2880859375
2060;1108.026123046875
2061;1379.4881591796875
2062;1369.882080078125
2063;1061.7763671875
2064;1152.6904296875
2065;916.4405517578125
2066;1033.149169921875
2067;1204.320556640625
2068;1041.623779296875
2069;1331.0936279296875
2070;1225.1297607421875
2071;1388.221923828125
2072;1138.78466796875
2073;1296.3880615234375
2074;1136.5655517578125
2075;1167.2550048828125
2076;898.6043701171875
2077;1010.3253784179688
2078;1076.799072265625
2079;1084.725830078125
2080;1218.101806640625
2081;1117.32763671875
2082;1043.2347412109375
2083;1060.903076171875
2084;1129.6844482421875
2085;1237.2412109375
2086;1200.05908203125
2087;1099.24365234375
2088;919.1151123046875
2089;995.17919921875
2090;1023.6551513671875
2091;1312.175048828125
2092;1138.72265625
2093;1071.5677490234375
2094;1112.142822265625
2095;1095.1490478515625
2096;1134.2698974609375
2097;1156.3289794921875
2098;1160.230224609375
2099;1021.427490234375
2100;985.87646484375
