Year;Precipitation sum
1971;1188.27734375
1972;1174.955322265625
1973;1062.166015625
1974;1195.59033203125
1975;1085.9599609375
1976;915.591796875
1977;1115.2315673828125
1978;1156.9739990234375
1979;920.4417724609375
1980;1301.986328125
1981;888.834228515625
1982;916.449462890625
1983;960.1593627929688
1984;927.79736328125
1985;1196.2891845703125
1986;1138.6900634765625
1987;1112.732666015625
1988;1078.953369140625
1989;1333.0819091796875
1990;1267.0313720703125
1991;1311.27294921875
1992;1243.0718994140625
1993;1107.84765625
1994;1158.350830078125
1995;1250.09130859375
1996;1200.67724609375
1997;1044.301513671875
1998;1397.18212890625
1999;1019.272705078125
2000;863.3178100585938
2001;1139.6732177734375
2002;1020.3839111328125
2003;1129.162841796875
2004;1082.2579345703125
2005;914.600830078125
2006;898.6243896484375
2007;1017.0322265625
2008;1046.3363037109375
2009;1196.656982421875
2010;1364.62646484375
2011;1002.2528686523438
2012;1091.868408203125
2013;1594.3358154296875
2014;1045.41650390625
2015;1472.5672607421875
2016;1368.453857421875
2017;1120.1060791015625
2018;1183.05078125
2019;1139.078125
2020;1244.716552734375
2021;1169.668701171875
2022;1082.41015625
2023;1064.42333984375
2024;1024.041259765625
2025;1453.810546875
2026;1159.713623046875
2027;1019.1947021484375
2028;1130.6395263671875
2029;912.5181274414062
2030;1057.650634765625
2031;886.2181396484375
2032;1519.371337890625
2033;1327.8946533203125
2034;1147.2354736328125
2035;1323.78515625
2036;1145.1148681640625
2037;1305.79931640625
2038;1302.605712890625
2039;1167.4140625
2040;1188.388671875
2041;1163.1904296875
2042;945.5349731445312
2043;1419.251708984375
2044;1268.05322265625
2045;978.3884887695312
2046;1023.1414794921875
2047;1123.5029296875
2048;992.9488525390625
2049;1115.3231201171875
2050;904.1611328125
2051;1192.3154296875
2052;1241.903564453125
2053;1311.005859375
2054;1166.093017578125
2055;1249.1019287109375
2056;1128.78173828125
2057;1259.3095703125
2058;1240.314453125
2059;1127.9517822265625
2060;1069.037109375
2061;1162.158203125
2062;1038.0281982421875
2063;1283.8824462890625
2064;1332.57421875
2065;1251.6025390625
2066;1378.0760498046875
2067;1177.400634765625
2068;1193.4437255859375
2069;1121.96630859375
2070;1418.6611328125
2071;814.86474609375
2072;1054.6094970703125
2073;1458.9892578125
2074;1089.09423828125
2075;1100.3232421875
2076;1302.266357421875
2077;1220.505126953125
2078;1299.010986328125
2079;1349.59814453125
2080;1111.108154296875
2081;1125.986572265625
2082;1301.0430908203125
2083;1210.8885498046875
2084;1030.99951171875
2085;969.39306640625
2086;898.55810546875
2087;1361.34423828125
2088;1218.116455078125
2089;1406.349853515625
2090;1057.461669921875
2091;952.7860717773438
2092;1114.8681640625
2093;1239.768310546875
2094;1033.3013916015625
2095;1662.2786865234375
2096;1119.4248046875
2097;884.60009765625
2098;1299.725830078125
2099;1143.461669921875
2100;1192.4581298828125
