Year;Precipitation sum
1951;1051.1700439453125
1952;1268.316650390625
1953;941.4083251953125
1954;1045.6275634765625
1955;1114.6290283203125
1956;1253.373779296875
1957;1085.328369140625
1958;1068.987548828125
1959;940.1279907226562
1960;1104.7476806640625
1961;1246.348876953125
1962;1219.8609619140625
1963;928.14697265625
1964;1259.892822265625
1965;1048.3870849609375
1966;1003.4176635742188
1967;1136.8414306640625
1968;1230.670166015625
1969;1057.583984375
1970;1030.041015625
1971;1099.2904052734375
1972;1170.6666259765625
1973;1242.92333984375
1974;1001.5864868164062
1975;1165.837890625
1976;988.2781372070312
1977;1170.24853515625
1978;1062.9259033203125
1979;870.58251953125
1980;1158.733642578125
1981;869.3087158203125
1982;803.2490234375
1983;985.2386474609375
1984;979.1578369140625
1985;1166.4302978515625
1986;1099.867431640625
1987;1125.556396484375
1988;1275.5911865234375
1989;1301.385498046875
1990;1370.4193115234375
1991;1217.686279296875
1992;1215.9588623046875
1993;1127.98193359375
1994;1084.8582763671875
1995;1485.396240234375
1996;1122.5374755859375
1997;1079.449951171875
1998;1249.719970703125
1999;1109.0443115234375
2000;850.8642578125
2001;1022.130126953125
2002;1146.1588134765625
2003;1034.906005859375
2004;1097.0030517578125
2005;1005.162353515625
2006;1278.1649169921875
2007;1069.0767822265625
2008;1017.7587280273438
2009;1044.27392578125
2010;1059.203125
2011;942.9945068359375
2012;1066.2833251953125
2013;1135.268798828125
2014;1309.107177734375
2015;1150.3837890625
2016;1148.942626953125
2017;1116.404052734375
2018;1143.37744140625
2019;1036.6468505859375
2020;1348.57470703125
2021;1211.5718994140625
2022;859.8463745117188
2023;1336.886474609375
2024;1217.42529296875
2025;1269.9710693359375
2026;1025.5479736328125
2027;1242.3009033203125
2028;1441.7840576171875
2029;1006.5463256835938
2030;1167.7178955078125
2031;882.727783203125
2032;883.0117797851562
2033;1429.4683837890625
2034;1032.18359375
2035;1043.9066162109375
2036;1138.31396484375
2037;1288.98974609375
2038;922.941162109375
2039;1387.757080078125
2040;1207.095458984375
2041;1125.927978515625
2042;1115.23974609375
2043;1284.529296875
2044;969.063232421875
2045;1206.43505859375
2046;1021.2764892578125
2047;1253.12744140625
2048;1295.890869140625
2049;1121.6427001953125
2050;1231.5904541015625
2051;979.89111328125
2052;1152.578857421875
2053;1205.951171875
2054;1098.201416015625
2055;1224.7415771484375
2056;1152.0748291015625
2057;930.6871337890625
2058;1161.2735595703125
2059;981.826416015625
2060;905.6170654296875
2061;1517.716796875
2062;1319.666015625
2063;1104.114013671875
2064;1142.840576171875
2065;1187.6761474609375
2066;1078.25390625
2067;1014.812255859375
2068;1164.13134765625
2069;1070.974853515625
2070;1123.73583984375
2071;1088.997314453125
2072;982.0465087890625
2073;1390.3359375
2074;1308.338134765625
2075;1152.5531005859375
2076;1189.2032470703125
2077;1378.779052734375
2078;1286.382080078125
2079;907.4366455078125
2080;1178.6331787109375
2081;1084.15478515625
2082;987.8350830078125
2083;1016.519775390625
2084;1032.551025390625
2085;1045.10107421875
2086;971.519287109375
2087;1049.06640625
2088;979.5413818359375
2089;1270.641845703125
2090;887.0860595703125
2091;1087.4041748046875
2092;1069.3497314453125
2093;1318.3427734375
2094;1265.302490234375
2095;1097.74169921875
2096;1026.359375
2097;1299.42431640625
2098;1140.619384765625
2099;1232.9146728515625
2100;1310.0003662109375
