Year;Anomaly 2001-2020
1951;-1.1536006927490234
1952;-0.8502793312072754
1953;-0.5926337242126465
1954;-0.7852587699890137
1955;-0.9192337989807129
1956;-1.6518049240112305
1957;-0.3811159133911133
1958;-0.8501424789428711
1959;-0.9700188636779785
1960;-0.7858562469482422
1961;-0.4792213439941406
1962;-1.403397560119629
1963;-0.8809833526611328
1964;-0.2089061737060547
1965;-0.17695045471191406
1966;-1.0975513458251953
1967;-0.8774247169494629
1968;-0.6029706001281738
1969;-1.283447265625
1970;-0.8840441703796387
1971;-0.2729806900024414
1972;0.5986909866333008
1973;0.6455550193786621
1974;-0.5934886932373047
1975;-0.4486083984375
1976;-1.056269645690918
1977;-0.30713701248168945
1978;-1.136434555053711
1979;-1.2848639488220215
1980;-1.5454363822937012
1981;-1.1123428344726562
1982;-0.7677688598632812
1983;-0.8336710929870605
1984;-0.38209962844848633
1985;-1.2305498123168945
1986;-0.3066854476928711
1987;-0.622246265411377
1988;0.2609748840332031
1989;-0.6775789260864258
1990;-0.49646902084350586
1991;0.8334255218505859
1992;-0.11275053024291992
1993;0.1513996124267578
1994;-1.2289800643920898
1995;-1.9770407676696777
1996;-1.3433470726013184
1997;-0.12062978744506836
1998;-1.2255616188049316
1999;-0.25124502182006836
2000;-0.15172433853149414
2001;0.1153101921081543
2002;-1.0610365867614746
2003;-0.4558401107788086
2004;-0.27288198471069336
2005;0.5591239929199219
2006;1.3700361251831055
2007;-0.26104116439819336
2008;0.27094459533691406
2009;0.03049612045288086
2010;-0.1545867919921875
2011;0.6102147102355957
2012;0.3120718002319336
2013;0.09819698333740234
2014;-1.4794921875
2015;0.3867340087890625
2016;-0.7906069755554199
2017;0.5269303321838379
2018;-0.1794724464416504
2019;-0.039957523345947266
2020;0.4148521423339844
2021;0.44181060791015625
2022;0.07061576843261719
2023;-1.0426673889160156
2024;-1.6880240440368652
2025;-0.5668773651123047
2026;0.3940105438232422
2027;-0.1439528465270996
2028;-0.35863685607910156
2029;0.42235231399536133
2030;-0.17775869369506836
2031;0.9964599609375
2032;0.043272972106933594
2033;-0.3797926902770996
2034;1.3721952438354492
2035;-0.2865428924560547
2036;-0.5282936096191406
2037;1.4317998886108398
2038;-0.8201355934143066
2039;1.2838020324707031
2040;0.4253544807434082
2041;0.7322402000427246
2042;1.1801252365112305
2043;-0.9985575675964355
2044;-0.5851860046386719
2045;-0.27579689025878906
2046;-0.525364875793457
2047;0.5485625267028809
2048;0.9790139198303223
2049;0.9085288047790527
2050;-0.09611797332763672
2051;0.5065712928771973
2052;0.7866072654724121
2053;0.9719195365905762
2054;-0.13148117065429688
2055;1.990591049194336
2056;0.40434837341308594
2057;0.9917516708374023
2058;0.6863365173339844
2059;1.613581657409668
2060;1.2272272109985352
2061;0.9552426338195801
2062;0.8144669532775879
2063;0.7131481170654297
2064;1.4868974685668945
2065;0.7956881523132324
2066;1.301711082458496
2067;1.9450511932373047
2068;0.8389673233032227
2069;0.652885913848877
2070;0.0846710205078125
2071;1.4656906127929688
2072;2.2537012100219727
2073;0.33217287063598633
2074;1.4481782913208008
2075;2.096446990966797
2076;1.4807024002075195
2077;0.20371007919311523
2078;0.7662086486816406
2079;1.0329513549804688
2080;0.9081177711486816
2081;1.9034347534179688
2082;0.1560077667236328
2083;1.9828205108642578
2084;1.6618938446044922
2085;1.2119827270507812
2086;0.7827763557434082
2087;0.6709141731262207
2088;1.3289337158203125
2089;0.4359426498413086
2090;0.5859675407409668
2091;0.3272705078125
2092;1.683405876159668
2093;1.5193204879760742
2094;2.811922073364258
2095;1.5147838592529297
2096;1.7104377746582031
2097;1.8491125106811523
2098;0.3794412612915039
2099;0.9598889350891113
2100;1.5144672393798828
