Year;Anomaly 1991-2020
1951;-0.0452117919921875
1952;-1.0554008483886719
1953;-0.5704026222229004
1954;-0.5608949661254883
1955;-1.1431708335876465
1956;-1.5559453964233398
1957;-1.2651615142822266
1958;-1.3845820426940918
1959;-0.49881982803344727
1960;-0.7364253997802734
1961;-0.2527198791503906
1962;-1.6183748245239258
1963;-0.6722311973571777
1964;-0.33864736557006836
1965;-1.0578584671020508
1966;-0.5578837394714355
1967;-0.5238804817199707
1968;-0.748629093170166
1969;-0.873082160949707
1970;-1.0207490921020508
1971;-0.991826057434082
1972;0.18974828720092773
1973;-0.5152120590209961
1974;-1.1835198402404785
1975;-0.34606170654296875
1976;-1.428591251373291
1977;-0.4524550437927246
1978;-0.7960638999938965
1979;-0.819831371307373
1980;-0.9874897003173828
1981;-1.735745906829834
1982;-0.7489743232727051
1983;-0.21338987350463867
1984;-1.3262629508972168
1985;-1.1473822593688965
1986;-1.2357110977172852
1987;-0.008543014526367188
1988;0.5498461723327637
1989;-0.9123330116271973
1990;-1.2212023735046387
1991;0.13059711456298828
1992;-0.14644670486450195
1993;0.6762580871582031
1994;-0.7089715003967285
1995;-1.4574627876281738
1996;-0.33542680740356445
1997;0.38559389114379883
1998;-1.2305893898010254
1999;0.7493658065795898
2000;0.1684112548828125
2001;-0.25452470779418945
2002;-0.048544883728027344
2003;-0.13906621932983398
2004;-0.28537893295288086
2005;0.8557038307189941
2006;-0.009921073913574219
2007;-0.573448657989502
2008;-0.668123722076416
2009;-0.25098752975463867
2010;0.09278535842895508
2011;-0.8058676719665527
2012;0.43231916427612305
2013;0.4774618148803711
2014;0.7048048973083496
2015;1.5549936294555664
2016;0.009242057800292969
2017;0.07485198974609375
2018;-0.6066603660583496
2019;0.6331653594970703
2020;0.5758605003356934
2021;0.33469057083129883
2022;0.8345232009887695
2023;0.13955926895141602
2024;1.3242874145507812
2025;0.2975749969482422
2026;-0.22128915786743164
2027;0.29327869415283203
2028;1.5044755935668945
2029;1.7496623992919922
2030;0.5449490547180176
2031;0.08662605285644531
2032;0.6255974769592285
2033;1.7321910858154297
2034;0.4267416000366211
2035;0.6848115921020508
2036;-0.2537574768066406
2037;1.304499626159668
2038;0.4287581443786621
2039;1.5637102127075195
2040;2.2533645629882812
2041;0.6861686706542969
2042;-0.11863279342651367
2043;1.1441783905029297
2044;0.7479610443115234
2045;0.12005186080932617
2046;1.51812744140625
2047;1.6678276062011719
2048;0.6313638687133789
2049;2.109879493713379
2050;2.2894344329833984
2051;1.0596261024475098
2052;1.9860973358154297
2053;1.9455795288085938
2054;1.6838607788085938
2055;1.586409568786621
2056;2.0384254455566406
2057;1.6948051452636719
2058;1.2941961288452148
2059;1.6012401580810547
2060;2.182971954345703
2061;2.0148935317993164
2062;2.7279748916625977
2063;3.210198402404785
2064;2.6089086532592773
2065;3.210254669189453
2066;1.7864303588867188
2067;2.6291418075561523
2068;2.8370742797851562
2069;3.1171655654907227
2070;2.3157949447631836
2071;1.7581977844238281
2072;1.8784675598144531
2073;2.0471887588500977
2074;3.2045164108276367
2075;5.051334381103516
2076;2.729982376098633
2077;3.98404598236084
2078;2.6983556747436523
2079;3.3845396041870117
2080;2.67535400390625
2081;3.45831298828125
2082;3.202080726623535
2083;3.423685073852539
2084;3.077986717224121
2085;3.3288040161132812
2086;3.748745918273926
2087;3.292710304260254
2088;4.521725654602051
2089;3.8064794540405273
2090;2.5338048934936523
2091;3.2906484603881836
2092;4.28564453125
2093;5.735730171203613
2094;3.313589096069336
2095;5.016263961791992
2096;2.9213056564331055
2097;4.256278038024902
2098;3.0087594985961914
2099;4.825105667114258
2100;4.511303901672363
