Year;Anomaly 1991-2020
1971;-0.7413134574890137
1972;-0.8277897834777832
1973;-0.4961814880371094
1974;-0.05895566940307617
1975;-0.9601221084594727
1976;-0.4978523254394531
1977;0.01162099838256836
1978;-0.09156370162963867
1979;-1.1802916526794434
1980;0.6107330322265625
1981;-0.3297109603881836
1982;-0.49296140670776367
1983;-0.8017911911010742
1984;-0.2881941795349121
1985;0.4879493713378906
1986;-0.3094325065612793
1987;-1.3475122451782227
1988;-1.2763404846191406
1989;-0.4726414680480957
1990;-0.7763671875
1991;-1.0939645767211914
1992;0.09967374801635742
1993;0.8052196502685547
1994;-0.9799971580505371
1995;-0.8421039581298828
1996;-0.5351724624633789
1997;-0.3007974624633789
1998;-0.32578468322753906
1999;0.19884824752807617
2000;-0.6861128807067871
2001;0.6885547637939453
2002;-0.005548954010009766
2003;-0.7190194129943848
2004;0.30498170852661133
2005;0.8571758270263672
2006;1.6424336433410645
2007;-0.41697263717651367
2008;0.5433387756347656
2009;-0.011825084686279297
2010;0.8825984001159668
2011;-0.7581949234008789
2012;-1.3266663551330566
2013;0.2821636199951172
2014;-0.023963451385498047
2015;-1.2760601043701172
2016;0.3444681167602539
2017;0.7772297859191895
2018;0.8205051422119141
2019;0.8168869018554688
2020;0.23808813095092773
2021;0.2780933380126953
2022;-1.3739581108093262
2023;1.2285399436950684
2024;1.0548248291015625
2025;-0.05845785140991211
2026;0.8487462997436523
2027;0.3152437210083008
2028;0.35291385650634766
2029;0.526942253112793
2030;0.6375226974487305
2031;1.4838662147521973
2032;0.06074953079223633
2033;2.0844273567199707
2034;0.7082915306091309
2035;0.38460826873779297
2036;-0.3735346794128418
2037;0.5489773750305176
2038;1.439063549041748
2039;0.07173395156860352
2040;1.3120999336242676
2041;1.6999993324279785
2042;1.1157903671264648
2043;0.37404632568359375
2044;1.9791359901428223
2045;1.2561278343200684
2046;1.0154156684875488
2047;0.20067882537841797
2048;1.1865143775939941
2049;0.9373044967651367
2050;1.078446865081787
2051;1.809614658355713
2052;1.924058437347412
2053;-0.08256101608276367
2054;-0.9009685516357422
2055;1.8385539054870605
2056;2.4869542121887207
2057;0.12151241302490234
2058;0.32433032989501953
2059;0.9505372047424316
2060;0.08002281188964844
2061;1.2983365058898926
2062;1.298917293548584
2063;-0.02775096893310547
2064;0.33022212982177734
2065;1.582322597503662
2066;0.11150264739990234
2067;2.0783333778381348
2068;1.875704288482666
2069;1.3541312217712402
2070;0.75836181640625
2071;2.092381000518799
2072;0.02135753631591797
2073;0.27617931365966797
2074;-0.33243322372436523
2075;0.9180850982666016
2076;0.11686372756958008
2077;0.6492857933044434
2078;1.315971851348877
2079;2.215170383453369
2080;1.5307374000549316
2081;-0.06975936889648438
2082;1.6388039588928223
2083;0.8487124443054199
2084;1.135155200958252
2085;0.21653127670288086
2086;0.9773831367492676
2087;1.186333179473877
2088;0.7337465286254883
2089;0.8709807395935059
2090;-0.01690053939819336
2091;0.592778205871582
2092;1.077232837677002
2093;1.3219313621520996
2094;2.142338275909424
2095;0.7342886924743652
2096;0.9054560661315918
2097;0.38250160217285156
2098;0.9375433921813965
2099;0.2060260772705078
2100;1.3535943031311035
