Year;Anomaly 2001-2020
1971;-1.103909969329834
1972;-1.1899847984313965
1973;-0.8605122566223145
1974;-0.42119932174682617
1975;-1.323479175567627
1976;-0.8594131469726562
1977;-0.3497319221496582
1978;-0.4544944763183594
1979;-1.5439438819885254
1980;0.2522921562194824
1981;-0.6897740364074707
1982;-0.8551955223083496
1983;-1.1651577949523926
1984;-0.6519145965576172
1985;0.12790679931640625
1986;-0.6723031997680664
1987;-1.7127900123596191
1988;-1.6397438049316406
1989;-0.8346490859985352
1990;-1.139322280883789
1991;-1.4590682983398438
1992;-0.26404857635498047
1993;0.4438772201538086
1994;-1.3430328369140625
1995;-1.202763557434082
1996;-0.8933463096618652
1997;-0.6653666496276855
1998;-0.6793556213378906
1999;-0.1709303855895996
2000;-1.0545215606689453
2001;0.33074378967285156
2002;-0.37134647369384766
2003;-1.078239917755127
2004;-0.0675191879272461
2005;0.48819732666015625
2006;-0.32098388671875
2007;0.6757292747497559
2008;0.6351289749145508
2009;-0.3261394500732422
2010;-0.809697151184082
2011;0.3231954574584961
2012;-0.13103914260864258
2013;-0.34923601150512695
2014;0.8825068473815918
2015;-0.23433256149291992
2016;0.4054374694824219
2017;-0.9137945175170898
2018;0.40614843368530273
2019;0.4751763343811035
2020;-0.01993417739868164
2021;-0.4802436828613281
2022;0.7068300247192383
2023;0.7953314781188965
2024;-0.07278871536254883
2025;1.331188678741455
2026;0.5303153991699219
2027;0.30104923248291016
2028;0.7429838180541992
2029;-0.5637435913085938
2030;0.11256074905395508
2031;0.2518157958984375
2032;0.5429491996765137
2033;0.601984977722168
2034;0.5737910270690918
2035;0.21318912506103516
2036;0.9604992866516113
2037;-0.021175861358642578
2038;2.3807950019836426
2039;2.5372042655944824
2040;0.29329824447631836
2041;0.1323251724243164
2042;1.575991153717041
2043;0.8295063972473145
2044;0.26474571228027344
2045;1.015923023223877
2046;-0.3580632209777832
2047;0.9085965156555176
2048;1.5167622566223145
2049;0.6624588966369629
2050;0.782127857208252
2051;0.7329163551330566
2052;0.6842103004455566
2053;1.9138503074645996
2054;0.9966778755187988
2055;1.3684630393981934
2056;1.2175049781799316
2057;0.3925304412841797
2058;1.4509787559509277
2059;2.703927516937256
2060;2.126311779022217
2061;1.906114101409912
2062;0.5837283134460449
2063;2.2852206230163574
2064;0.46996116638183594
2065;2.236661434173584
2066;3.0622286796569824
2067;1.6292719841003418
2068;1.5541815757751465
2069;1.2587971687316895
2070;1.1520400047302246
2071;1.5562081336975098
2072;0.34201622009277344
2073;1.883470058441162
2074;1.5641303062438965
2075;0.04059267044067383
2076;1.4869837760925293
2077;0.6143631935119629
2078;0.6896429061889648
2079;3.2184510231018066
2080;2.481688976287842
2081;1.2628121376037598
2082;0.9154353141784668
2083;2.7494006156921387
2084;2.1518702507019043
2085;2.478024959564209
2086;2.94761323928833
2087;2.6979641914367676
2088;2.5036377906799316
2089;1.9899086952209473
2090;1.5458369255065918
2091;1.855649471282959
2092;2.1648783683776855
2093;2.1403021812438965
2094;2.235257625579834
2095;1.7409138679504395
2096;-0.9174118041992188
2097;1.7175450325012207
2098;0.9064640998840332
2099;2.17769193649292
2100;2.0596365928649902
