Year;Anomaly 2001-2020
1951;-1.0330328941345215
1952;-1.4411430358886719
1953;-1.4085941314697266
1954;-0.6818351745605469
1955;-0.9997782707214355
1956;-1.7748470306396484
1957;-0.5776591300964355
1958;-0.6672863960266113
1959;-0.8589353561401367
1960;-2.2425026893615723
1961;-3.0993309020996094
1962;-1.621859073638916
1963;-0.7455959320068359
1964;0.169586181640625
1965;0.3760981559753418
1966;-1.266298770904541
1967;-1.4339351654052734
1968;-0.045908451080322266
1969;-2.3815674781799316
1970;-1.990488052368164
1971;-0.4018526077270508
1972;-1.0554866790771484
1973;-0.2568168640136719
1974;-1.6047801971435547
1975;-0.20896339416503906
1976;-0.10321807861328125
1977;-1.151291847229004
1978;-1.1629319190979004
1979;-0.7301802635192871
1980;-0.9205851554870605
1981;-0.4587125778198242
1982;-0.6922335624694824
1983;-0.5972514152526855
1984;-0.6736350059509277
1985;0.28365182876586914
1986;-1.0751724243164062
1987;-0.5623598098754883
1988;-0.47148656845092773
1989;0.1695270538330078
1990;0.0772557258605957
1991;0.7124013900756836
1992;-1.5508675575256348
1993;-0.413297176361084
1994;-0.8558745384216309
1995;0.8258185386657715
1996;0.14078760147094727
1997;0.04259300231933594
1998;0.4507441520690918
1999;-0.039887428283691406
2000;0.6614260673522949
2001;-0.25785112380981445
2002;-0.2624235153198242
2003;1.5725278854370117
2004;-0.146331787109375
2005;0.7122592926025391
2006;0.4902949333190918
2007;-1.0750679969787598
2008;-0.7529778480529785
2009;-0.3216671943664551
2010;-0.4361577033996582
2011;-0.5201148986816406
2012;0.7432098388671875
2013;0.4283633232116699
2014;0.10274696350097656
2015;0.06209754943847656
2016;1.338881492614746
2017;-0.42342662811279297
2018;-0.37638378143310547
2019;-1.1286144256591797
2020;0.2506437301635742
2021;1.9614715576171875
2022;0.9009342193603516
2023;1.0105171203613281
2024;0.6584210395812988
2025;0.41008949279785156
2026;1.7971372604370117
2027;1.0358500480651855
2028;0.37636613845825195
2029;0.18190431594848633
2030;1.531412124633789
2031;-0.21615171432495117
2032;1.4285144805908203
2033;1.1620559692382812
2034;0.6984319686889648
2035;1.5361156463623047
2036;-0.8798675537109375
2037;0.4201951026916504
2038;1.1632604598999023
2039;0.6044926643371582
2040;1.6724519729614258
2041;1.438741683959961
2042;0.3827953338623047
2043;0.3877553939819336
2044;1.6364545822143555
2045;1.558039665222168
2046;2.722410202026367
2047;1.3181934356689453
2048;0.9292216300964355
2049;0.9162602424621582
2050;0.6232619285583496
2051;0.6780705451965332
2052;0.19469213485717773
2053;-0.47974586486816406
2054;-0.11864995956420898
2055;2.1163625717163086
2056;1.3482561111450195
2057;0.6310243606567383
2058;0.7429757118225098
2059;0.954897403717041
2060;0.5059194564819336
2061;0.9061298370361328
2062;1.4161090850830078
2063;0.793464183807373
2064;1.7587833404541016
2065;0.9210376739501953
2066;1.6355466842651367
2067;0.6312918663024902
2068;1.6194486618041992
2069;2.404186248779297
2070;1.4233818054199219
2071;0.5951175689697266
2072;2.5931005477905273
2073;2.0877132415771484
2074;2.832803726196289
2075;2.146235466003418
2076;1.0553531646728516
2077;1.8469009399414062
2078;2.187196731567383
2079;2.3586339950561523
2080;2.0909547805786133
2081;2.1623964309692383
2082;0.48032236099243164
2083;2.3977270126342773
2084;2.659764289855957
2085;1.753366470336914
2086;0.9206538200378418
2087;1.8436269760131836
2088;0.5753579139709473
2089;2.9516735076904297
2090;2.2447757720947266
2091;2.0096492767333984
2092;0.7958517074584961
2093;2.4530820846557617
2094;0.487637996673584
2095;0.7201457023620605
2096;1.5854997634887695
2097;3.062021255493164
2098;1.8972015380859375
2099;2.0763072967529297
2100;3.4882402420043945
