Year;Anomaly 2001-2020
1951;-2.0682077407836914
1952;-0.2943878173828125
1953;-0.9827308654785156
1954;-1.0007662773132324
1955;0.4540266990661621
1956;-2.333871841430664
1957;-0.8886556625366211
1958;-0.5193414688110352
1959;-0.6142897605895996
1960;-1.1133246421813965
1961;-0.34476518630981445
1962;0.15681076049804688
1963;-0.6505904197692871
1964;0.0933523178100586
1965;-0.8354358673095703
1966;-0.4207029342651367
1967;-1.46319580078125
1968;-1.0828886032104492
1969;-1.575089454650879
1970;-2.162482738494873
1971;-0.33037376403808594
1972;-0.6278729438781738
1973;-1.8467249870300293
1974;-1.1386127471923828
1975;-1.5348753929138184
1976;-1.2300853729248047
1977;-0.9777030944824219
1978;-0.44942808151245117
1979;-0.6543502807617188
1980;-1.5765948295593262
1981;-1.0902509689331055
1982;-0.018093109130859375
1983;-0.31374549865722656
1984;-1.3127741813659668
1985;-0.49803590774536133
1986;-1.1097469329833984
1987;-0.7803049087524414
1988;-0.4392867088317871
1989;0.5644874572753906
1990;-0.5911040306091309
1991;-0.34724950790405273
1992;-0.9068498611450195
1993;0.8674497604370117
1994;-0.1342172622680664
1995;-1.182180404663086
1996;-0.28278493881225586
1997;-1.2800078392028809
1998;-0.23563241958618164
1999;0.45757055282592773
2000;0.1033334732055664
2001;-0.12666559219360352
2002;-0.7952413558959961
2003;0.04184389114379883
2004;0.2124929428100586
2005;0.056723594665527344
2006;0.2525911331176758
2007;-0.6314835548400879
2008;-0.7635421752929688
2009;-0.21636486053466797
2010;0.6403446197509766
2011;0.3333568572998047
2012;0.16353654861450195
2013;-0.5978941917419434
2014;0.040863990783691406
2015;0.23285579681396484
2016;-0.3568301200866699
2017;0.835869312286377
2018;1.6150217056274414
2019;-0.8495578765869141
2020;-0.08791685104370117
2021;1.1996564865112305
2022;0.2792949676513672
2023;1.0331487655639648
2024;0.3686790466308594
2025;0.940882682800293
2026;2.1022090911865234
2027;0.04618358612060547
2028;-0.07575798034667969
2029;0.5399742126464844
2030;0.08950138092041016
2031;0.7734689712524414
2032;0.14244699478149414
2033;1.3885259628295898
2034;0.8849263191223145
2035;1.2057428359985352
2036;1.5900602340698242
2037;0.9614191055297852
2038;2.726119041442871
2039;1.0814809799194336
2040;-0.12883520126342773
2041;0.6306304931640625
2042;2.0205278396606445
2043;1.1955347061157227
2044;0.0007929801940917969
2045;0.8736233711242676
2046;1.5763444900512695
2047;0.8150758743286133
2048;0.5069680213928223
2049;0.24663305282592773
2050;0.8131327629089355
2051;1.1097345352172852
2052;2.195812225341797
2053;1.598581314086914
2054;2.4990768432617188
2055;1.7776880264282227
2056;1.1839284896850586
2057;0.8365516662597656
2058;1.0325851440429688
2059;1.0145626068115234
2060;1.3398761749267578
2061;2.20245361328125
2062;1.4506568908691406
2063;2.424567222595215
2064;1.9581165313720703
2065;1.5888538360595703
2066;0.30267810821533203
2067;2.0904884338378906
2068;2.50650691986084
2069;2.275735855102539
2070;1.201146125793457
2071;2.252995491027832
2072;2.3357057571411133
2073;1.0096397399902344
2074;1.9010858535766602
2075;1.8494997024536133
2076;2.862852096557617
2077;1.9394330978393555
2078;2.787935256958008
2079;3.631988525390625
2080;2.8747501373291016
2081;2.5500411987304688
2082;2.4191436767578125
2083;2.15555477142334
2084;2.770923614501953
2085;2.505354881286621
2086;3.7776975631713867
2087;3.473952293395996
2088;2.696164131164551
2089;2.855693817138672
2090;3.899656295776367
2091;3.629453659057617
2092;3.3152952194213867
2093;2.2028818130493164
2094;4.290247917175293
2095;3.3747148513793945
2096;3.0703582763671875
2097;2.8345794677734375
2098;3.519451141357422
2099;3.3525314331054688
2100;3.184934616088867
