Year;Anomaly 2001-2020
1971;-2.1537251472473145
1972;0.20393848419189453
1973;0.014458179473876953
1974;-1.3348021507263184
1975;-0.6999068260192871
1976;-1.9303479194641113
1977;-1.6202211380004883
1978;-1.4586763381958008
1979;-3.1174960136413574
1980;-1.7155652046203613
1981;-0.14634227752685547
1982;-1.1832208633422852
1983;-0.327089786529541
1984;-0.8021917343139648
1985;-0.5961852073669434
1986;-2.1698832511901855
1987;-1.2814903259277344
1988;-0.05817890167236328
1989;-1.7603845596313477
1990;-1.3815836906433105
1991;-0.8135972023010254
1992;-1.2575364112854004
1993;-2.718033790588379
1994;0.49081945419311523
1995;-1.416450023651123
1996;-0.11268186569213867
1997;-2.2180004119873047
1998;-0.8056559562683105
1999;0.0454559326171875
2000;0.809969425201416
2001;-0.4890460968017578
2002;-0.351473331451416
2003;-1.5206999778747559
2004;0.38097047805786133
2005;0.138946533203125
2006;-0.8457522392272949
2007;1.1774115562438965
2008;-0.40398645401000977
2009;-0.30835819244384766
2010;1.3366131782531738
2011;0.08531618118286133
2012;-0.001007080078125
2013;-0.1971116065979004
2014;0.7102494239807129
2015;-0.9969744682312012
2016;0.45477724075317383
2017;-0.05902814865112305
2018;1.200171947479248
2019;0.32990503311157227
2020;-0.6409091949462891
2021;-0.36081361770629883
2022;-0.9431023597717285
2023;0.08802413940429688
2024;0.6040244102478027
2025;-0.9618134498596191
2026;0.5892186164855957
2027;-0.5012831687927246
2028;0.5748400688171387
2029;-0.08367109298706055
2030;-0.08707141876220703
2031;1.435422420501709
2032;0.18288898468017578
2033;0.14902019500732422
2034;1.0550503730773926
2035;-0.3947010040283203
2036;0.026102066040039062
2037;1.7404179573059082
2038;0.7518267631530762
2039;1.9886584281921387
2040;0.3721461296081543
2041;1.6787104606628418
2042;0.17917680740356445
2043;0.2850046157836914
2044;0.4471168518066406
2045;0.9272294044494629
2046;0.8866448402404785
2047;0.6123127937316895
2048;1.4347014427185059
2049;0.7404685020446777
2050;2.569225788116455
2051;0.9418492317199707
2052;0.19184255599975586
2053;1.4061455726623535
2054;1.2733778953552246
2055;1.1816754341125488
2056;1.891796588897705
2057;0.7539095878601074
2058;0.48894596099853516
2059;0.8055758476257324
2060;0.8865208625793457
2061;2.06437349319458
2062;0.913642406463623
2063;0.9888167381286621
2064;0.12381458282470703
2065;2.7556443214416504
2066;1.3386588096618652
2067;1.3084111213684082
2068;0.7961277961730957
2069;0.9935641288757324
2070;2.6751017570495605
2071;2.973663806915283
2072;0.7383780479431152
2073;1.8977055549621582
2074;2.14139986038208
2075;1.261888027191162
2076;1.5992751121520996
2077;1.4404053688049316
2078;2.556708812713623
2079;2.7264552116394043
2080;2.1370816230773926
2081;3.032461643218994
2082;1.7784390449523926
2083;2.1047234535217285
2084;2.7389559745788574
2085;0.9885315895080566
2086;2.1054091453552246
2087;1.8457579612731934
2088;2.1657004356384277
2089;1.5014424324035645
2090;1.5759263038635254
2091;2.0516085624694824
2092;0.8173527717590332
2093;2.5018630027770996
2094;1.3920540809631348
2095;2.4035820960998535
2096;1.8341774940490723
2097;2.795632839202881
2098;2.0719456672668457
2099;1.3391003608703613
2100;1.4187474250793457
