Year;Anomaly 1991-2020
1951;-1.910423755645752
1952;-1.4756698608398438
1953;-1.6942901611328125
1954;-1.3024744987487793
1955;-1.9465241432189941
1956;-0.2453780174255371
1957;-1.5622930526733398
1958;-0.36908483505249023
1959;-0.2535576820373535
1960;-1.0411734580993652
1961;-0.2584872245788574
1962;-1.0431466102600098
1963;-0.6144347190856934
1964;-1.3003873825073242
1965;-1.617049217224121
1966;-2.970828056335449
1967;-1.3272509574890137
1968;-0.9441061019897461
1969;-1.1431622505187988
1970;-2.2136964797973633
1971;-1.8070435523986816
1972;-1.288762092590332
1973;-0.19121932983398438
1974;-0.6588220596313477
1975;-0.5155525207519531
1976;-1.632472038269043
1977;-1.9078240394592285
1978;-1.5105853080749512
1979;-3.0353736877441406
1980;-1.5302081108093262
1981;-0.5461878776550293
1982;-0.6628212928771973
1983;-0.37351417541503906
1984;-0.8482933044433594
1985;-1.8830256462097168
1986;-2.134023666381836
1987;-0.9075527191162109
1988;-0.40109777450561523
1989;-1.8014817237854004
1990;-1.0686678886413574
1991;-0.4372119903564453
1992;-0.5603599548339844
1993;-1.6815800666809082
1994;-0.1413712501525879
1995;-1.0297255516052246
1996;-0.04089689254760742
1997;-0.6735219955444336
1998;-0.3795461654663086
1999;-0.16391372680664062
2000;0.058589935302734375
2001;-1.7364563941955566
2002;-1.2857170104980469
2003;-0.7122087478637695
2004;0.6847600936889648
2005;0.39788246154785156
2006;0.13445425033569336
2007;-0.3437352180480957
2008;1.0221490859985352
2009;0.24803829193115234
2010;0.37064170837402344
2011;1.2723169326782227
2012;-0.2974686622619629
2013;0.0351872444152832
2014;1.543142318725586
2015;0.7434940338134766
2016;0.9095964431762695
2017;0.4964284896850586
2018;0.12023401260375977
2019;0.6857719421386719
2020;0.7610130310058594
2021;0.09991455078125
2022;0.7428121566772461
2023;0.20939254760742188
2024;0.6401185989379883
2025;-1.2065868377685547
2026;-0.2814321517944336
2027;-0.9467830657958984
2028;0.23894834518432617
2029;0.5807638168334961
2030;-0.10558605194091797
2031;0.07879972457885742
2032;1.4644908905029297
2033;0.43415164947509766
2034;1.4562873840332031
2035;-0.4865713119506836
2036;0.300778865814209
2037;-0.10105657577514648
2038;0.4843311309814453
2039;-0.2824716567993164
2040;-0.03194570541381836
2041;0.20341968536376953
2042;0.13457441329956055
2043;0.8148412704467773
2044;0.5836057662963867
2045;1.4346637725830078
2046;1.1473579406738281
2047;-0.792841911315918
2048;0.5161733627319336
2049;0.10224485397338867
2050;0.842625617980957
2051;1.951303482055664
2052;0.5290327072143555
2053;0.5656509399414062
2054;1.2675237655639648
2055;1.7177085876464844
2056;1.2006263732910156
2057;2.6589622497558594
2058;1.1846551895141602
2059;0.6302261352539062
2060;1.7028264999389648
2061;1.3991870880126953
2062;3.229341506958008
2063;1.4616813659667969
2064;2.052631378173828
2065;1.5725727081298828
2066;2.690974235534668
2067;1.3770818710327148
2068;1.6328067779541016
2069;1.8013801574707031
2070;1.9956598281860352
2071;2.7460641860961914
2072;3.0354042053222656
2073;3.3755264282226562
2074;2.4360008239746094
2075;3.1901473999023438
2076;2.263172149658203
2077;2.732137680053711
2078;2.6428422927856445
2079;2.6964797973632812
2080;2.227145195007324
2081;2.978118896484375
2082;1.231337547302246
2083;2.832444190979004
2084;2.8742542266845703
2085;2.1161909103393555
2086;4.762937545776367
2087;3.0430355072021484
2088;2.5905885696411133
2089;3.4909000396728516
2090;2.8526878356933594
2091;2.020493507385254
2092;2.71282958984375
2093;2.9984512329101562
2094;3.372769355773926
2095;4.404256820678711
2096;2.3101892471313477
2097;3.6304931640625
2098;4.443192481994629
2099;3.254481315612793
2100;3.225229263305664
