Year;Anomaly 2001-2020
1951;-0.8046379089355469
1952;-1.1988897323608398
1953;-0.44564056396484375
1954;-2.202606678009033
1955;-2.3557610511779785
1956;-1.574690341949463
1957;-1.7869539260864258
1958;-1.8700909614562988
1959;-1.404320240020752
1960;-0.7300386428833008
1961;-1.1198492050170898
1962;-1.5062627792358398
1963;-0.07297945022583008
1964;-1.5085129737854004
1965;-1.2609825134277344
1966;-0.8426165580749512
1967;-1.2020058631896973
1968;-1.5884079933166504
1969;-1.4933924674987793
1970;-1.6800432205200195
1971;-0.7697210311889648
1972;-0.8568172454833984
1973;-0.9328575134277344
1974;-1.8645634651184082
1975;-0.5645270347595215
1976;-1.8940958976745605
1977;-1.425541877746582
1978;-0.3393683433532715
1979;-1.0897397994995117
1980;-2.152863025665283
1981;-0.7962751388549805
1982;-1.0997190475463867
1983;-1.0176506042480469
1984;-1.3860077857971191
1985;0.26697254180908203
1986;-1.065096378326416
1987;-1.1309819221496582
1988;-0.8162684440612793
1989;-1.3493785858154297
1990;-0.009039878845214844
1991;-0.510136604309082
1992;-1.1824140548706055
1993;-1.1031107902526855
1994;-1.1246232986450195
1995;-0.14261341094970703
1996;-0.5828714370727539
1997;1.1437349319458008
1998;-0.6042904853820801
1999;0.08542633056640625
2000;-0.44574499130249023
2001;-0.6306896209716797
2002;-0.24863147735595703
2003;-0.3259906768798828
2004;-1.3646240234375
2005;-0.5328850746154785
2006;0.40633296966552734
2007;0.33441781997680664
2008;-0.4696335792541504
2009;-0.10617446899414062
2010;-0.8630104064941406
2011;1.029749870300293
2012;-0.748344898223877
2013;-0.39377784729003906
2014;-0.22983455657958984
2015;-0.03621625900268555
2016;1.534769058227539
2017;0.35274219512939453
2018;1.2451133728027344
2019;-0.19080877304077148
2020;1.237513542175293
2021;0.877659797668457
2022;0.284757137298584
2023;-0.3425774574279785
2024;0.6693325042724609
2025;0.6827278137207031
2026;2.1995534896850586
2027;0.9089212417602539
2028;0.8927392959594727
2029;1.3512353897094727
2030;0.7261514663696289
2031;0.4356117248535156
2032;0.0016155242919921875
2033;0.46926164627075195
2034;1.0442543029785156
2035;0.9214153289794922
2036;1.4196090698242188
2037;0.8746824264526367
2038;1.876906394958496
2039;0.7423439025878906
2040;1.1101188659667969
2041;1.7345085144042969
2042;2.260723114013672
2043;0.7761554718017578
2044;0.26868295669555664
2045;2.260894775390625
2046;1.7063322067260742
2047;1.188079833984375
2048;2.2295570373535156
2049;2.215150833129883
2050;1.144124984741211
2051;2.7345409393310547
2052;2.4142446517944336
2053;1.4468917846679688
2054;1.5845794677734375
2055;2.1399927139282227
2056;1.9226160049438477
2057;1.5831975936889648
2058;0.6012554168701172
2059;0.9738912582397461
2060;2.09293270111084
2061;2.7386083602905273
2062;3.361475944519043
2063;3.1763792037963867
2064;1.8070201873779297
2065;2.0960693359375
2066;2.0483055114746094
2067;3.6684703826904297
2068;1.8867464065551758
2069;2.113466262817383
2070;2.859807014465332
2071;2.361332893371582
2072;3.4536333084106445
2073;1.8882818222045898
2074;2.276801109313965
2075;2.5141897201538086
2076;1.0045442581176758
2077;1.8145980834960938
2078;3.0286617279052734
2079;1.3878288269042969
2080;2.7339658737182617
2081;2.187106132507324
2082;1.744013786315918
2083;2.810614585876465
2084;2.2093963623046875
2085;1.3158483505249023
2086;2.468653678894043
2087;2.604203224182129
2088;2.568950653076172
2089;1.4753189086914062
2090;2.6716480255126953
2091;3.3842878341674805
2092;1.915177345275879
2093;3.003676414489746
2094;2.7500600814819336
2095;1.4967470169067383
2096;2.26271915435791
2097;2.891404151916504
2098;3.4077062606811523
2099;2.8976755142211914
