Year;Anomaly 2001-2020
1951;-2.006924629211426
1952;-0.48382139205932617
1953;-0.6562604904174805
1954;-2.5790529251098633
1955;-1.6228156089782715
1956;-1.2902560234069824
1957;-0.5532131195068359
1958;-1.4216289520263672
1959;-0.8774266242980957
1960;-0.7429318428039551
1961;-0.2922234535217285
1962;-0.7491335868835449
1963;-0.3198375701904297
1964;-0.9872164726257324
1965;-2.3130722045898438
1966;-1.6373019218444824
1967;-1.7458620071411133
1968;-1.273118019104004
1969;-2.1228737831115723
1970;0.5090417861938477
1971;-1.2585859298706055
1972;-0.6199479103088379
1973;-2.030311107635498
1974;-1.2860617637634277
1975;-1.2220611572265625
1976;-0.9952764511108398
1977;-0.9147520065307617
1978;-0.7969403266906738
1979;-0.354067325592041
1980;-1.2879376411437988
1981;-0.13774871826171875
1982;-0.5348162651062012
1983;-0.5356130599975586
1984;-0.15903282165527344
1985;-0.8365273475646973
1986;-1.7646465301513672
1987;-0.7364115715026855
1988;-0.7350368499755859
1989;-0.6612129211425781
1990;-0.29893064498901367
1991;-1.6821703910827637
1992;-1.0872182846069336
1993;-1.1209564208984375
1994;-0.27823352813720703
1995;-0.6115312576293945
1996;-1.1181573867797852
1997;0.08956098556518555
1998;-0.5690407752990723
1999;-0.39605045318603516
2000;-0.9047422409057617
2001;-1.1506447792053223
2002;0.2541007995605469
2003;-1.1357674598693848
2004;-0.48692893981933594
2005;0.1043100357055664
2006;-0.6809701919555664
2007;0.27651119232177734
2008;0.6641664505004883
2009;0.2207484245300293
2010;-0.43610715866088867
2011;0.0376739501953125
2012;-0.3594322204589844
2013;0.02397918701171875
2014;0.9261007308959961
2015;0.9032993316650391
2016;0.3339085578918457
2017;-0.18483924865722656
2018;0.16665315628051758
2019;0.2089214324951172
2020;0.3143310546875
2021;1.2633094787597656
2022;0.44857120513916016
2023;0.30770397186279297
2024;0.24049806594848633
2025;1.9970579147338867
2026;-0.744269847869873
2027;-0.9914798736572266
2028;0.8020257949829102
2029;-0.4658966064453125
2030;-0.18691158294677734
2031;1.1290016174316406
2032;-0.14036035537719727
2033;-1.057004451751709
2034;0.19972562789916992
2035;-1.2301878929138184
2036;-0.2772951126098633
2037;0.001773834228515625
2038;0.20987319946289062
2039;0.41736698150634766
2040;1.268056869506836
2041;0.1863412857055664
2042;-1.3259758949279785
2043;0.38662195205688477
2044;0.5001120567321777
2045;0.4977583885192871
2046;0.43929481506347656
2047;-0.16769695281982422
2048;-0.2806682586669922
2049;-0.07746696472167969
2050;0.7850837707519531
2051;0.5284743309020996
2052;-0.38938236236572266
2053;0.44759464263916016
2054;-0.31482505798339844
2055;-0.8021483421325684
2056;0.4667530059814453
2057;-0.4720005989074707
2058;0.8148870468139648
2059;0.3488292694091797
2060;-0.7842621803283691
2061;0.4916496276855469
2062;-0.3738374710083008
2063;1.618941307067871
2064;0.07909870147705078
2065;1.0966835021972656
2066;0.7506561279296875
2067;0.39180469512939453
2068;0.27771806716918945
2069;0.5265636444091797
2070;0.08668279647827148
2071;-0.4101533889770508
2072;0.4353952407836914
2073;-0.2202897071838379
2074;-1.1867289543151855
2075;0.37557411193847656
2076;1.0969743728637695
2077;0.6573128700256348
2078;0.27448415756225586
2079;-0.36742544174194336
2080;0.16805076599121094
2081;0.1295766830444336
2082;0.9208259582519531
2083;0.35563182830810547
2084;0.025377273559570312
2085;-0.16309261322021484
2086;-0.323763370513916
2087;0.09443426132202148
2088;1.1941394805908203
2089;1.0487308502197266
2090;1.043177604675293
2091;0.45913267135620117
2092;0.5848870277404785
2093;0.7528257369995117
2094;-0.8165640830993652
2095;0.4401817321777344
2096;-0.9393677711486816
2097;1.0331392288208008
2098;0.2945995330810547
2099;0.9533205032348633
2100;0.8629817962646484
