Year;Anomaly 2001-2020
1971;-1.4730825424194336
1972;-0.7074689865112305
1973;-0.5726203918457031
1974;-0.7109270095825195
1975;-2.229550838470459
1976;-1.13645601272583
1977;-1.8407526016235352
1978;-1.6425294876098633
1979;-0.5674190521240234
1980;0.16708707809448242
1981;-0.49960851669311523
1982;-0.12026071548461914
1983;-0.829596996307373
1984;-1.982682228088379
1985;-0.9264516830444336
1986;-0.34771299362182617
1987;-0.6237201690673828
1988;-0.7668399810791016
1989;-0.5055060386657715
1990;-0.8107352256774902
1991;-0.8223085403442383
1992;-1.2080035209655762
1993;-0.7951407432556152
1994;-0.43749094009399414
1995;-0.6728310585021973
1996;-1.1844596862792969
1997;-1.3148112297058105
1998;0.03640556335449219
1999;-0.14347219467163086
2000;0.8336057662963867
2001;0.3543663024902344
2002;-0.6868767738342285
2003;0.36744117736816406
2004;-0.022441864013671875
2005;-2.059856414794922
2006;-1.0419940948486328
2007;-1.006558895111084
2008;0.17182397842407227
2009;0.1803131103515625
2010;-0.7744235992431641
2011;-1.2589807510375977
2012;1.4319639205932617
2013;-0.3049745559692383
2014;0.3845500946044922
2015;1.8274240493774414
2016;0.5104789733886719
2017;1.5413599014282227
2018;0.4053840637207031
2019;0.29165220260620117
2020;-0.3106565475463867
2021;-1.8239836692810059
2022;-0.011980533599853516
2023;-0.41626834869384766
2024;-1.6540040969848633
2025;0.5014114379882812
2026;0.49010276794433594
2027;0.20977783203125
2028;0.27284955978393555
2029;0.6785955429077148
2030;-0.2784304618835449
2031;-0.3891124725341797
2032;1.1757268905639648
2033;-0.2846360206604004
2034;1.4869890213012695
2035;0.17450618743896484
2036;0.7366495132446289
2037;-0.8371486663818359
2038;0.9103517532348633
2039;0.9867734909057617
2040;-0.10686922073364258
2041;1.3181743621826172
2042;1.2851715087890625
2043;2.0154027938842773
2044;1.5994024276733398
2045;1.4718561172485352
2046;0.29540443420410156
2047;1.0117454528808594
2048;0.6656012535095215
2049;-0.27467870712280273
2050;1.1477680206298828
2051;0.4275393486022949
2052;-0.013866901397705078
2053;2.269866943359375
2054;1.941422462463379
2055;2.8516359329223633
2056;1.7764158248901367
2057;1.0663394927978516
2058;1.296182632446289
2059;3.371723175048828
2060;1.8866710662841797
2061;2.4192752838134766
2062;2.240057945251465
2063;1.6175127029418945
2064;2.562558174133301
2065;0.9323348999023438
2066;0.5723257064819336
2067;1.7042913436889648
2068;2.2516775131225586
2069;2.690174102783203
2070;2.5591650009155273
2071;2.8966922760009766
2072;2.6776199340820312
2073;2.4148502349853516
2074;2.188901901245117
2075;3.847543716430664
2076;2.9846839904785156
2077;4.151760101318359
2078;1.9127693176269531
2079;3.0603294372558594
2080;2.6131820678710938
2081;3.0070390701293945
2082;2.8238039016723633
2083;3.5729122161865234
2084;3.4218807220458984
2085;5.168501853942871
2086;4.226072311401367
2087;3.389397621154785
2088;3.2093353271484375
2089;3.483546257019043
2090;2.9050960540771484
2091;5.0575456619262695
2092;3.1489572525024414
2093;5.418729782104492
2094;3.6821985244750977
2095;4.580653190612793
2096;4.120963096618652
2097;4.040036201477051
2098;3.5862836837768555
2099;4.358689308166504
2100;3.5888309478759766
